context: Ladies and gentlemen, good evening. response:	There are men who sniff around the mystery that surrounds myself and my friend.
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend. response:	Little by little, their search brings them closer to our secret.
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret. response:	Hear me, young man and young lady. Hear me, noble souls acting in unison.
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison. response:	Be on your guard,
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard, response:	Count!
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count! response:	You miserable brat!
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count!\You miserable brat! response:	Die!
context: Ladies and gentlemen, good evening.\There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count!\You miserable brat!\Die! response:	Act 14: Lost Souls
context: There are men who sniff around the mystery that surrounds myself and my friend.\Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count!\You miserable brat!\Die!\Act 14: Lost Souls response:	You sons of...
context: Little by little, their search brings them closer to our secret.\Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count!\You miserable brat!\Die!\Act 14: Lost Souls\You sons of... response:	Count! Are you all right?!
context: Hear me, young man and young lady. Hear me, noble souls acting in unison.\Be on your guard,\Count!\You miserable brat!\Die!\Act 14: Lost Souls\You sons of...\Count! Are you all right?! response:	You needn't worry about me.
context: Be on your guard,\Count!\You miserable brat!\Die!\Act 14: Lost Souls\You sons of...\Count! Are you all right?!\You needn't worry about me. response:	But...
context: Count!\You miserable brat!\Die!\Act 14: Lost Souls\You sons of...\Count! Are you all right?!\You needn't worry about me.\But... response:	Why is this happening to me?!
context: You miserable brat!\Die!\Act 14: Lost Souls\You sons of...\Count! Are you all right?!\You needn't worry about me.\But...\Why is this happening to me?! response:	Hasn't my record always been perfect?!
context: Die!\Act 14: Lost Souls\You sons of...\Count! Are you all right?!\You needn't worry about me.\But...\Why is this happening to me?!\Hasn't my record always been perfect?! response:	You should know that! Right?
context: Act 14: Lost Souls\You sons of...\Count! Are you all right?!\You needn't worry about me.\But...\Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right? response:	I've always been above reproach, with no blemish on my record!
context: You sons of...\Count! Are you all right?!\You needn't worry about me.\But...\Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record! response:	Albert!
context: Count! Are you all right?!\You needn't worry about me.\But...\Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert! response:	This is all your fault! It's all because you brought that accursed Count to Paris!
