context: Time flies. response:	It's already late November.
context: Time flies.\It's already late November. response:	There's only one month left of this busy, dizzy second semester.
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester. response:	Morning, Sawako.
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako. response:	Chizu-chan.
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan. response:	Did I scare you?
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan.\Did I scare you? response:	Yeah.
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan.\Did I scare you?\Yeah. response:	That was the friendliest morning greeting I've ever had.
context: Time flies.\It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan.\Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had. response:	I'll do it every day if you want.
context: It's already late November.\There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan.\Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want. response:	Really?
context: There's only one month left of this busy, dizzy second semester.\Morning, Sawako.\Chizu-chan.\Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really? response:	Really.
context: Morning, Sawako.\Chizu-chan.\Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really?\Really. response:	Chizu-chan, you seem happy today.
context: Chizu-chan.\Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really?\Really.\Chizu-chan, you seem happy today. response:	Yeah?
context: Did I scare you?\Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really?\Really.\Chizu-chan, you seem happy today.\Yeah? response:	You know, it's cold today.
context: Yeah.\That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really?\Really.\Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today. response:	It's almost New Year's, huh?
context: That was the friendliest morning greeting I've ever had.\I'll do it every day if you want.\Really?\Really.\Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today.\It's almost New Year's, huh? response:	Almost?
context: I'll do it every day if you want.\Really?\Really.\Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today.\It's almost New Year's, huh?\Almost? response:	Yeah, almost.
context: Really?\Really.\Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today.\It's almost New Year's, huh?\Almost?\Yeah, almost. response:	It's still November.
context: Really.\Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today.\It's almost New Year's, huh?\Almost?\Yeah, almost.\It's still November. response:	Morning, Kazehaya.
context: Chizu-chan, you seem happy today.\Yeah?\You know, it's cold today.\It's almost New Year's, huh?\Almost?\Yeah, almost.\It's still November.\Morning, Kazehaya. response:	Good Morning.
context: Yeah?\You know, it's cold today.\It's almost New Year's, huh?\Almost?\Yeah, almost.\It's still November.\Morning, Kazehaya.\Good Morning. response:	It's cold today.
context: You know, it's cold today.\It's almost New Year's, huh?\Almost?\Yeah, almost.\It's still November.\Morning, Kazehaya.\Good Morning.\It's cold today. response:	He's wearing a blazer.
context: It's almost New Year's, huh?\Almost?\Yeah, almost.\It's still November.\Morning, Kazehaya.\Good Morning.\It's cold today.\He's wearing a blazer. response:	So why are you so happy?
context: Almost?\Yeah, almost.\It's still November.\Morning, Kazehaya.\Good Morning.\It's cold today.\He's wearing a blazer.\So why are you so happy? response:	So fresh. Ever since spring.
context: Yeah, almost.\It's still November.\Morning, Kazehaya.\Good Morning.\It's cold today.\He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring. response:	Did you notice my bedhead?
context: It's still November.\Morning, Kazehaya.\Good Morning.\It's cold today.\He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead? response:	Oh yeah.
context: Morning, Kazehaya.\Good Morning.\It's cold today.\He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah. response:	You didn't notice?
context: Good Morning.\It's cold today.\He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah.\You didn't notice? response:	Oh. I should have just pretended that's how I wanted it then.
context: It's cold today.\He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then. response:	Kazehaya.
context: He's wearing a blazer.\So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya. response:	Come here, you gotta see this.
