context: I can win! response:	Against Reiner, I can win!
context: I can win!\Against Reiner, I can win! response:	Hey...
context: I can win!\Against Reiner, I can win!\Hey... response:	Hey, hey, hey, hey, hey!
context: I can win!\Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey! response:	Above you! Look out!
context: I can win!\Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out! response:	Eren!
context: I can win!\Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\Eren! response:	The Hunters
context: I can win!\Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\Eren!\The Hunters response:	Trost District
context: I can win!\Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\Eren!\The Hunters\Trost District response:	Commander.
context: Against Reiner, I can win!\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\Eren!\The Hunters\Trost District\Commander. response:	Wake up, Commander Pyxis.
context: Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\Eren!\The Hunters\Trost District\Commander.\Wake up, Commander Pyxis. response:	You'll get sick if you fall asleep here.
context: Hey, hey, hey, hey, hey!\Above you! Look out!\Eren!\The Hunters\Trost District\Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here. response:	I can't believe you drank all this.
context: Above you! Look out!\Eren!\The Hunters\Trost District\Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this. response:	You're not young anymore.
context: Eren!\The Hunters\Trost District\Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore. response:	And I'd rather not spend my days changing your diapers.
context: The Hunters\Trost District\Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers. response:	Being cared for by a pretty lady sounds all right to me.
context: Trost District\Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me. response:	So? What's the situation?
context: Commander.\Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation? response:	Patrols were sent out once the Titans
