context: Presented by SoulEaterFan response:	Presented by SoulEaterFan
context: Presented by SoulEaterFan\Presented by SoulEaterFan response:	Hold your breath
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath response:	Deadly Night awaits us
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us response:	You desired it,
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	Winding and Sliding
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Winding and Sliding response:	The Dancing Doctor, A New World?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Winding and Sliding\The Dancing Doctor, A New World? response:	Charge!
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Winding and Sliding\The Dancing Doctor, A New World?\Charge! response:	Baba Yaga' s
context: the memories you left behind,\along with your image,\even now\remain within' me...\Winding and Sliding\The Dancing Doctor, A New World?\Charge!\Baba Yaga' s response:	Castle
context: along with your image,\even now\remain within' me...\Winding and Sliding\The Dancing Doctor, A New World?\Charge!\Baba Yaga' s\Castle response:	Why is Everything Suddenly so Unclear?
context: even now\remain within' me...\Winding and Sliding\The Dancing Doctor, A New World?\Charge!\Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear? response:	You must hurry.
context: remain within' me...\Winding and Sliding\The Dancing Doctor, A New World?\Charge!\Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear?\You must hurry. response:	Hurry up, Stein.
context: Winding and Sliding\The Dancing Doctor, A New World?\Charge!\Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein. response:	Rid yourself of your fake skin.
context: The Dancing Doctor, A New World?\Charge!\Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin. response:	Give in to your weight and walk on.
context: Charge!\Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on. response:	The glorious light illuminating the way out is almost in your sight.
context: Baba Yaga' s\Castle\Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight. response:	Stop, Stein.
context: Castle\Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein. response:	Where do you think you are going?
context: Why is Everything Suddenly so Unclear?\You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein.\Where do you think you are going? response:	Shouldn't you be under house arrest?
context: You must hurry.\Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein.\Where do you think you are going?\Shouldn't you be under house arrest? response:	I'm looking for my way back.
context: Hurry up, Stein.\Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein.\Where do you think you are going?\Shouldn't you be under house arrest?\I'm looking for my way back. response:	The fog is too thick
context: Rid yourself of your fake skin.\Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein.\Where do you think you are going?\Shouldn't you be under house arrest?\I'm looking for my way back.\The fog is too thick response:	and I've lost my way.
context: Give in to your weight and walk on.\The glorious light illuminating the way out is almost in your sight.\Stop, Stein.\Where do you think you are going?\Shouldn't you be under house arrest?\I'm looking for my way back.\The fog is too thick\and I've lost my way. response:	You've been taken over by the madness inside you.
