context: Huh? That's strange' this goes here' response:	and this here'
context: Huh? That's strange' this goes here'\and this here' response:	Something different'
context: Huh? That's strange' this goes here'\and this here'\Something different' response:	Ah? Like this?
context: Huh? That's strange' this goes here'\and this here'\Something different'\Ah? Like this? response:	I get it!
context: Huh? That's strange' this goes here'\and this here'\Something different'\Ah? Like this?\I get it! response:	I've got you now!
context: Huh? That's strange' this goes here'\and this here'\Something different'\Ah? Like this?\I get it!\I've got you now! response:	What's wrong with you!?
context: Huh? That's strange' this goes here'\and this here'\Something different'\Ah? Like this?\I get it!\I've got you now!\What's wrong with you!? response:	I can't get my head out!
context: Huh? That's strange' this goes here'\and this here'\Something different'\Ah? Like this?\I get it!\I've got you now!\What's wrong with you!?\I can't get my head out! response:	What are those clothes for?
context: and this here'\Something different'\Ah? Like this?\I get it!\I've got you now!\What's wrong with you!?\I can't get my head out!\What are those clothes for? response:	Tomorrow we're having a bazaar at school.
context: Something different'\Ah? Like this?\I get it!\I've got you now!\What's wrong with you!?\I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school. response:	Our class is running a cafe
context: Ah? Like this?\I get it!\I've got you now!\What's wrong with you!?\I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe response:	to sell tea and candy
context: I get it!\I've got you now!\What's wrong with you!?\I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy response:	So everyone is
context: I've got you now!\What's wrong with you!?\I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy\So everyone is response:	making uniforms like this.
context: What's wrong with you!?\I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy\So everyone is\making uniforms like this. response:	Tomoyo-chan
context: I can't get my head out!\What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy\So everyone is\making uniforms like this.\Tomoyo-chan response:	designed that.
context: What are those clothes for?\Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy\So everyone is\making uniforms like this.\Tomoyo-chan\designed that. response:	Ca'n'dy!?
context: Tomorrow we're having a bazaar at school.\Our class is running a cafe\to sell tea and candy\So everyone is\making uniforms like this.\Tomoyo-chan\designed that.\Ca'n'dy!? response:	I'm going too!!
context: Our class is running a cafe\to sell tea and candy\So everyone is\making uniforms like this.\Tomoyo-chan\designed that.\Ca'n'dy!?\I'm going too!! response:	I'll go to the bazaar and eat lots of candy!
context: to sell tea and candy\So everyone is\making uniforms like this.\Tomoyo-chan\designed that.\Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy! response:	Hey Kero-chan'
context: So everyone is\making uniforms like this.\Tomoyo-chan\designed that.\Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan' response:	Tomorrow will be so much fun!
context: making uniforms like this.\Tomoyo-chan\designed that.\Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun! response:	That's
context: Tomoyo-chan\designed that.\Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun!\That's response:	your suit for the bazaar isn't it,
context: designed that.\Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it, response:	' Eriol?' Yes.
context: Ca'n'dy!?\I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it,\' Eriol?' Yes. response:	What? What? What are you talking about?
context: I'm going too!!\I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about? response:	I'm home, Eriol.
context: I'll go to the bazaar and eat lots of candy!\Hey Kero-chan'\Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol. response:	I'm home, Suppi!
