context: We've sealed off all the entrances around the airport. response:	However, there is still no sign of BK201.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201. response:	He took a boat and escaped by sea.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea. response:	How do you know?
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know? response:	No one can escape from our system.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know?\No one can escape from our system. response:	I'll notify you when he has landed.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know?\No one can escape from our system.\I'll notify you when he has landed. response:	Standby at the airport.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know?\No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport. response:	So he used the doll system.
context: We've sealed off all the entrances around the airport.\However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know?\No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport.\So he used the doll system. response:	That's what we used to observe you.
context: However, there is still no sign of BK201.\He took a boat and escaped by sea.\How do you know?\No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport.\So he used the doll system.\That's what we used to observe you. response:	Even with that system he's so proud of, he still couldn't capture BK201.
context: He took a boat and escaped by sea.\How do you know?\No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport.\So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201. response:	I wonder why...
context: How do you know?\No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport.\So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why... response:	Hey! Hold on!
context: No one can escape from our system.\I'll notify you when he has landed.\Standby at the airport.\So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on! response:	I thought you would give me a ride!
context: I'll notify you when he has landed.\Standby at the airport.\So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on!\I thought you would give me a ride! response:	Ah, I'm so lonely.
context: Standby at the airport.\So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely. response:	My Suou is already dead!
context: So he used the doll system.\That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead! response:	Mama!
context: That's what we used to observe you.\Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead!\Mama! response:	Don't call me that...!
context: Even with that system he's so proud of, he still couldn't capture BK201.\I wonder why...\Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead!\Mama!\Don't call me that...! response:	Filthy abomination... you're driving me crazy...
context: I wonder why...\Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead!\Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy... response:	Everyone is smiling.
context: Hey! Hold on!\I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead!\Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling. response:	That's right. Nobody is angry in an aquarium.
context: I thought you would give me a ride!\Ah, I'm so lonely.\My Suou is already dead!\Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium. response:	No...
context: Ah, I'm so lonely.\My Suou is already dead!\Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No... response:	That's not it! The mom I knew always used to smile!
context: My Suou is already dead!\Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile! response:	Let go of me!
context: Mama!\Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile!\Let go of me! response:	Let's go to the aquarium!
context: Don't call me that...!\Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium! response:	Maybe then, you'll...
context: Filthy abomination... you're driving me crazy...\Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium!\Maybe then, you'll... response:	Aquarium? What are you talking about?
context: Everyone is smiling.\That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about? response:	Hey!
