context: Rikudo will win! response:	At the same time, I will beat myself and beat you, Kurahara.
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara. response:	What will you show me?
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me? response:	Kakeru!
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru! response:	King is...
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru!\King is... response:	Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed. response:	He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka. response:	What a striking debut for this rookie.
context: Rikudo will win!\At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie. response:	Damn! Damn, damn!
context: At the same time, I will beat myself and beat you, Kurahara.\What will you show me?\Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn! response:	Damn, damn!
context: What will you show me?\Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn! response:	Damn, damn!
context: Kakeru!\King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn!\Damn, damn! response:	Run with the Wind
context: King is...\Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn!\Damn, damn!\Run with the Wind response:	Have you been at it?
context: Tokyo Sport first-year Sakaki Kosuke puts on a tremendous burst of speed.\He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn!\Damn, damn!\Run with the Wind\Have you been at it? response:	Looking for a job, I mean.
context: He's pulling ahead of Kansei, who passed their sash before them at Hiratsuka.\What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn!\Damn, damn!\Run with the Wind\Have you been at it?\Looking for a job, I mean. response:	Does it look like I have been?
context: What a striking debut for this rookie.\Damn! Damn, damn!\Damn, damn!\Damn, damn!\Run with the Wind\Have you been at it?\Looking for a job, I mean.\Does it look like I have been? response:	What are you gonna do? Join a works team?
context: Damn! Damn, damn!\Damn, damn!\Damn, damn!\Run with the Wind\Have you been at it?\Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team? response:	Are you staying in school?
context: Damn, damn!\Damn, damn!\Run with the Wind\Have you been at it?\Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school? response:	Then I'll stay, too.
context: Damn, damn!\Run with the Wind\Have you been at it?\Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too. response:	Let's run the Hakone Ekiden next year, too.
context: Run with the Wind\Have you been at it?\Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too. response:	King...
context: Have you been at it?\Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King... response:	I won't be staying in school,
context: Looking for a job, I mean.\Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King...\I won't be staying in school, response:	but I haven't thought about the future, either.
context: Does it look like I have been?\What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King...\I won't be staying in school,\but I haven't thought about the future, either. response:	Running at the Hakone Ekiden. It's all I've thought about for a while now.
context: What are you gonna do? Join a works team?\Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King...\I won't be staying in school,\but I haven't thought about the future, either.\Running at the Hakone Ekiden. It's all I've thought about for a while now. response:	Of course.
context: Are you staying in school?\Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King...\I won't be staying in school,\but I haven't thought about the future, either.\Running at the Hakone Ekiden. It's all I've thought about for a while now.\Of course. response:	If you told me you had a job lined up,
context: Then I'll stay, too.\Let's run the Hakone Ekiden next year, too.\King...\I won't be staying in school,\but I haven't thought about the future, either.\Running at the Hakone Ekiden. It's all I've thought about for a while now.\Of course.\If you told me you had a job lined up, response:	I'd be pissed.
