context: Where's Kagome and? response:	I wonder if Inuyasha's all right.
context: Where's Kagome and?\I wonder if Inuyasha's all right. response:	He wouldn't die so easily.
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily. response:	Hey, you guys!
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys! response:	Inuyasha, so there you are!
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are! response:	So, you haven't had enough?
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough? response:	Tetsusaiga!
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga! response:	What?! Kagome's been kidnapped?
context: Where's Kagome and?\I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped? response:	That demoness stole her away.
context: I wonder if Inuyasha's all right.\He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away. response:	Then, she wasn't thrown to the ground and killed?
context: He wouldn't die so easily.\Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed? response:	Souls?
context: Hey, you guys!\Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls? response:	Hey Kaede! What's going on?
context: Inuyasha, so there you are!\So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on? response:	Human souls were being used to move these puppets.
context: So, you haven't had enough?\Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets. response:	Not only that...
context: Tetsusaiga!\What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that... response:	Bones have been baked into them.
context: What?! Kagome's been kidnapped?\That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them. response:	Bones?
context: That demoness stole her away.\Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them.\Bones? response:	She uses bones... That Urasue.
context: Then, she wasn't thrown to the ground and killed?\Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them.\Bones?\She uses bones... That Urasue. response:	Bones and souls.
context: Souls?\Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them.\Bones?\She uses bones... That Urasue.\Bones and souls. response:	She stole my sister Kikyo's remains, and Kagome.
context: Hey Kaede! What's going on?\Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them.\Bones?\She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome. response:	Don't strain yourself. I'll recover Kikyo's bones for you.
context: Human souls were being used to move these puppets.\Not only that...\Bones have been baked into them.\Bones?\She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you. response:	We haven't got much time, I fear.
context: Not only that...\Bones have been baked into them.\Bones?\She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear. response:	We may well be meeting up with Kikyo soon.
context: Bones have been baked into them.\Bones?\She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon. response:	Meeting Kikyo?
context: Bones?\She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo? response:	If Urasue uses her tricks to reincarnate Kikyo...
context: She uses bones... That Urasue.\Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo... response:	she will become a formidable foe.
context: Bones and souls.\She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe. response:	We have got to stop her.
context: She stole my sister Kikyo's remains, and Kagome.\Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her. response:	Hey! What do you think you're doing?
context: Don't strain yourself. I'll recover Kikyo's bones for you.\We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing? response:	What a noisy chit!
context: We haven't got much time, I fear.\We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit! response:	That should do it.
context: We may well be meeting up with Kikyo soon.\Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit!\That should do it. response:	What's in this water? It smells like herbs.
context: Meeting Kikyo?\If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit!\That should do it.\What's in this water? It smells like herbs. response:	Oh... Who's that?
context: If Urasue uses her tricks to reincarnate Kikyo...\she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit!\That should do it.\What's in this water? It smells like herbs.\Oh... Who's that? response:	So, you've donned your costume...
context: she will become a formidable foe.\We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit!\That should do it.\What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume... response:	You look quite pretty dressed as a priestess.
context: We have got to stop her.\Hey! What do you think you're doing?\What a noisy chit!\That should do it.\What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess. response:	Your body is baked of human remains and graveyard soil.
context: Hey! What do you think you're doing?\What a noisy chit!\That should do it.\What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil. response:	All I need do now is place a human soul within you.
context: What a noisy chit!\That should do it.\What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you. response:	Soul?
context: That should do it.\What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul? response:	The herbs will soon cause your soul to leave your body.
context: What's in this water? It smells like herbs.\Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body. response:	I will have you return it... Kikyo's soul.
context: Oh... Who's that?\So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul. response:	Kikyo's soul...?
context: So, you've donned your costume...\You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...? response:	Does that mean she's Kikyo?
context: You look quite pretty dressed as a priestess.\Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo? response:	Ow...
context: Your body is baked of human remains and graveyard soil.\All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo?\Ow... response:	Hey, Inuyasha!
context: All I need do now is place a human soul within you.\Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo?\Ow...\Hey, Inuyasha! response:	Can't you fly more gently?
context: Soul?\The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo?\Ow...\Hey, Inuyasha!\Can't you fly more gently? response:	Sorry. I thought time was critical.
context: The herbs will soon cause your soul to leave your body.\I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo?\Ow...\Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical. response:	Don't worry about me. Get me up there, hurry!
context: I will have you return it... Kikyo's soul.\Kikyo's soul...?\Does that mean she's Kikyo?\Ow...\Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry! response:	She said Kagome's soul would be removed.
context: Kikyo's soul...?\Does that mean she's Kikyo?\Ow...\Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed. response:	We can't be dawdling.
context: Does that mean she's Kikyo?\Ow...\Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling. response:	I feel awful... I can't... move...
context: Ow...\Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move... response:	That girl...
context: Hey, Inuyasha!\Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move...\That girl... response:	The herbs should have caused her to lose consciousness by now.
context: Can't you fly more gently?\Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now. response:	This light!
context: Sorry. I thought time was critical.\Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now.\This light! response:	So, you have a fragment of the Sacred Jewel!?
context: Don't worry about me. Get me up there, hurry!\She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!? response:	What great fortune! I'll help myself to it.
context: She said Kagome's soul would be removed.\We can't be dawdling.\I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it. response:	Is this the power of the Sacred Jewel?
context: We can't be dawdling.\I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel? response:	This spirit is angered. Kikyo's soul is mad with anger.
context: I feel awful... I can't... move...\That girl...\The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger. response:	I feel sick... I'm going to throw up...
context: That girl...\The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up... response:	It is a powerful grudge.
context: The herbs should have caused her to lose consciousness by now.\This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge. response:	Something damnable must surely have happened to her in her previous life.
context: This light!\So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life. response:	Huh?
context: So, you have a fragment of the Sacred Jewel!?\What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh? response:	Sister!
context: What great fortune! I'll help myself to it.\Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh?\Sister! response:	Inuyasha...
context: Is this the power of the Sacred Jewel?\This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh?\Sister!\Inuyasha... response:	Are you still alive!
context: This spirit is angered. Kikyo's soul is mad with anger.\I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh?\Sister!\Inuyasha...\Are you still alive! response:	Why, you're...
context: I feel sick... I'm going to throw up...\It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh?\Sister!\Inuyasha...\Are you still alive!\Why, you're... response:	Don't... Don't call my name...
context: It is a powerful grudge.\Something damnable must surely have happened to her in her previous life.\Huh?\Sister!\Inuyasha...\Are you still alive!\Why, you're...\Don't... Don't call my name... response:	Kikyo...
context: Something damnable must surely have happened to her in her previous life.\Huh?\Sister!\Inuyasha...\Are you still alive!\Why, you're...\Don't... Don't call my name...\Kikyo... response:	Oh! It's leaving her body!
context: Huh?\Sister!\Inuyasha...\Are you still alive!\Why, you're...\Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body! response:	Kagome!
context: Sister!\Inuyasha...\Are you still alive!\Why, you're...\Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body!\Kagome! response:	The second you said her name, her heart skipped a beat...
context: Inuyasha...\Are you still alive!\Why, you're...\Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat... response:	and Kikyo's soul sprang forth.
context: Are you still alive!\Why, you're...\Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth. response:	Kagome's soul has entered Kikyo's body.
context: Why, you're...\Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body. response:	Kagome! Wake up, Kagome!
context: Don't... Don't call my name...\Kikyo...\Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome! response:	That girl is just an empty shell now.
context: Kikyo...\Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now. response:	I'll pickle her later for my dinner.
context: Oh! It's leaving her body!\Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner. response:	Listen, Urasue...
context: Kagome!\The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue... response:	You dared to use my sister Kikyo's bones...
context: The second you said her name, her heart skipped a beat...\and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones... response:	Exactly!
