context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Man Named Fanzell
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell response:	Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye. response:	The other members of the Black Bulls headed out to find a cure for his arms.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms. response:	Noelle and Finral also visited a certain man to gain some clues.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues. response:	I'm coming in!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues.\I'm coming in! response:	Oh, hey. I just got out of the bath
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues.\I'm coming in!\Oh, hey. I just got out of the bath response:	The man that Noelle and Finral came to see is named Fanzell Kruger.
context: He was called the Wizard King, and he became a legend.\The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues.\I'm coming in!\Oh, hey. I just got out of the bath\The man that Noelle and Finral came to see is named Fanzell Kruger. response:	Who is this man, and what's his relationship with Asta?
context: The Man Named Fanzell\Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues.\I'm coming in!\Oh, hey. I just got out of the bath\The man that Noelle and Finral came to see is named Fanzell Kruger.\Who is this man, and what's his relationship with Asta? response:	To find out, we must look back in time to five months ago.
context: Asta was gravely injured due to a curse placed on him by Vetto of the Third Eye.\The other members of the Black Bulls headed out to find a cure for his arms.\Noelle and Finral also visited a certain man to gain some clues.\I'm coming in!\Oh, hey. I just got out of the bath\The man that Noelle and Finral came to see is named Fanzell Kruger.\Who is this man, and what's his relationship with Asta?\To find out, we must look back in time to five months ago. response:	5 Months Ago
