context: It is near... response:	It is near!
context: It is near...\It is near! response:	Time is etched, and then chaos descends!
context: It is near...\It is near!\Time is etched, and then chaos descends! response:	That dream again?
context: It is near...\It is near!\Time is etched, and then chaos descends!\That dream again? response:	Time is etched... and then chaos descends?
context: It is near...\It is near!\Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends? response:	So, what about a grave?
context: It is near...\It is near!\Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends?\So, what about a grave? response:	About Lisanna's grave in the cathedral...
context: It is near...\It is near!\Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral... response:	What should we do about it?
context: It is near...\It is near!\Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it? response:	Are you gonna destroy it?
context: It is near!\Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it? response:	I dunno about that...
context: Time is etched, and then chaos descends!\That dream again?\Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it?\I dunno about that... response:	The church said we could do what we want with it.
context: That dream again?\Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it. response:	I remember now... We're the ones who made it.
context: Time is etched... and then chaos descends?\So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it. response:	Do you have to bring that up now?
context: So, what about a grave?\About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now? response:	Well, I suppose it'd be nice to leave as a memento.
context: About Lisanna's grave in the cathedral...\What should we do about it?\Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento. response:	Just change the inscription, or something.
context: What should we do about it?\Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something. response:	I just thought about this at the church, but isn't it about time?
context: Are you gonna destroy it?\I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time? response:	For what?
context: I dunno about that...\The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what? response:	Oh yeah, paying respect to the archbishop or somethin'.
context: The church said we could do what we want with it.\I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'. response:	I know!
context: I remember now... We're the ones who made it.\Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know! response:	It's an important festival for the church, right?
context: Do you have to bring that up now?\Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right? response:	This archbishop person only comes out in front of people once every few years.
context: Well, I suppose it'd be nice to leave as a memento.\Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right?\This archbishop person only comes out in front of people once every few years. response:	A huge number of pilgrims gather just to get a glimpse of him, even from far off countries.
context: Just change the inscription, or something.\I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right?\This archbishop person only comes out in front of people once every few years.\A huge number of pilgrims gather just to get a glimpse of him, even from far off countries. response:	You don't know anything, do you, Natsu?
context: I just thought about this at the church, but isn't it about time?\For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right?\This archbishop person only comes out in front of people once every few years.\A huge number of pilgrims gather just to get a glimpse of him, even from far off countries.\You don't know anything, do you, Natsu? response:	Can it already!
context: For what?\Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right?\This archbishop person only comes out in front of people once every few years.\A huge number of pilgrims gather just to get a glimpse of him, even from far off countries.\You don't know anything, do you, Natsu?\Can it already! response:	Is that the truth?
context: Oh yeah, paying respect to the archbishop or somethin'.\I know!\It's an important festival for the church, right?\This archbishop person only comes out in front of people once every few years.\A huge number of pilgrims gather just to get a glimpse of him, even from far off countries.\You don't know anything, do you, Natsu?\Can it already!\Is that the truth? response:	Yesterday, at dawn, the Akaza district church erupted in a fiery explosion.
