context: When we lived at the monastery, response:	it was easy to tell whether Rin was home or not.
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not. response:	So if he happened to be late for dinner, we ate in silence...
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence... response:	I'm back!
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back! response:	You're late, Rin!
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin! response:	I bet you got into a fight again...
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin!\I bet you got into a fight again... response:	Shut up! It's okay for me to have something to do too!
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too! response:	You're not chasing girls for sure.
context: When we lived at the monastery,\it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure. response:	As if you'd know!
context: it was easy to tell whether Rin was home or not.\So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know! response:	What the hell is this?
context: So if he happened to be late for dinner, we ate in silence...\I'm back!\You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know!\What the hell is this? response:	Kyodo... Nagatomo...
context: I'm back!\You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know!\What the hell is this?\Kyodo... Nagatomo... response:	Maruta... Izumi...
context: You're late, Rin!\I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know!\What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi... response:	Please stand back. They're still breathing.
context: I bet you got into a fight again...\Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know!\What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing. response:	We'll explain later.
context: Shut up! It's okay for me to have something to do too!\You're not chasing girls for sure.\As if you'd know!\What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later. response:	What exactly happened here?
context: You're not chasing girls for sure.\As if you'd know!\What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later.\What exactly happened here? response:	That's...
