context: Attention! response:	I shall now explain the plan to retake Trost.
context: Attention!\I shall now explain the plan to retake Trost. response:	Let me introduce you to
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to response:	Eren Jaeger, from the Trainee Corps.
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps. response:	He is the result of a top-secret project
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project response:	to turn humans into Titans.
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans. response:	He will become a Titan,
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan, response:	pick up the giant boulder by the shattered gate,
context: Attention!\I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate, response:	carry it over, and seal the hole.
context: I shall now explain the plan to retake Trost.\Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole. response:	Your job will be
context: Let me introduce you to\Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be response:	to protect him from Titans while he moves the boulder!
context: Eren Jaeger, from the Trainee Corps.\He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder! response:	When this mission succeeds,
context: He is the result of a top-secret project\to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds, response:	humanity will have retaken its territory from them
context: to turn humans into Titans.\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them response:	for the very first time.
context: He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them\for the very first time. response:	Compared to all that humanity has lost, it may seem insignificant.
context: pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant. response:	But for humanity,
context: carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity, response:	that step will be a great advance in
context: Your job will be\to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in response:	our attack on the Titans!
context: to protect him from Titans while he moves the boulder!\When this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in\our attack on the Titans! response:	Eren, don't you know who I am?
context: When this mission succeeds,\humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am? response:	It's me, Mikasa!
context: humanity will have retaken its territory from them\for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa! response:	Your family!
context: for the very first time.\Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa!\Your family! response:	Move, Ackerman!
context: Compared to all that humanity has lost, it may seem insignificant.\But for humanity,\that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\Move, Ackerman! response:	What the?
context: But for humanity,\that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\Move, Ackerman!\What the? response:	He's just like any other stupid Titan!
context: that step will be a great advance in\our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\Move, Ackerman!\What the?\He's just like any other stupid Titan! response:	I'm changing the plan.
context: our attack on the Titans!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\Move, Ackerman!\What the?\He's just like any other stupid Titan!\I'm changing the plan. response:	We protect Jaeger from the Titans until we can retrieve him.
context: Eren, don't you know who I am?\It's me, Mikasa!\Your family!\Move, Ackerman!\What the?\He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him. response:	He's still valuable as one of humanity's last hopes.
