context: This is for pushing me off my horse. response:	This is for leaving me unable to walk.
context: This is for pushing me off my horse.\This is for leaving me unable to walk. response:	And this is for being born.
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born. response:	Sylvia-sama! Please, please stop.
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop. response:	This is cruel.
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel. response:	Cruel?
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel.\Cruel? response:	This Norma... this disgusting, violent, antisocial monster
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster response:	was my sister.
context: This is for pushing me off my horse.\This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister. response:	What could be any worse?
context: This is for leaving me unable to walk.\And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse? response:	Apologize.
context: And this is for being born.\Sylvia-sama! Please, please stop.\This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse?\Apologize. response:	Say you're sorry for being a Norma.
context: Sylvia-sama! Please, please stop.\This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse?\Apologize.\Say you're sorry for being a Norma. response:	Sylvia-sama is right.
context: This is cruel.\Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse?\Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right. response:	Give us back our lives.
context: Cruel?\This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse?\Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives. response:	I thank you, Momoka.
context: This Norma... this disgusting, violent, antisocial monster\was my sister.\What could be any worse?\Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka. response:	You've given us this opportunity to dispense justice.
context: was my sister.\What could be any worse?\Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice. response:	It was I who exposed Angelise's identity at the Baptism Ritual.
context: What could be any worse?\Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual. response:	After sixteen years, we finally rid the royal family of this pest.
context: Apologize.\Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest. response:	All that remained was to wait, and hear that
context: Say you're sorry for being a Norma.\Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that response:	she'd been sent to hell and devoured by another monster.
context: Sylvia-sama is right.\Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster. response:	But...
context: Give us back our lives.\I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But... response:	Much to my surprise, she did not die.
context: I thank you, Momoka.\You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die. response:	She might have continued to live on.
context: You've given us this opportunity to dispense justice.\It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die.\She might have continued to live on. response:	That's why, Momoka, I sent you.
context: It was I who exposed Angelise's identity at the Baptism Ritual.\After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you. response:	It wasn't easy.
context: After sixteen years, we finally rid the royal family of this pest.\All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy. response:	Did you think a mere maid would simply
