context: TS response:	SCRIPT
context: TS\SCRIPT response:	If I return to the beta world line,
context: TS\SCRIPT\If I return to the beta world line, response:	Makise Kurisu dies.
context: TS\SCRIPT\If I return to the beta world line,\Makise Kurisu dies. response:	I'll start cracking now.
context: TS\SCRIPT\If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now. response:	Wait!
context: TS\SCRIPT\If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now.\Wait! response:	The cracking...
context: TS\SCRIPT\If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now.\Wait!\The cracking... response:	We're not doing it.
context: TS\SCRIPT\If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now.\Wait!\The cracking...\We're not doing it. response:	OP
context: SCRIPT\If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now.\Wait!\The cracking...\We're not doing it.\OP response:	suujuuoku mono kodou no kazu sae
context: If I return to the beta world line,\Makise Kurisu dies.\I'll start cracking now.\Wait!\The cracking...\We're not doing it.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Makise Kurisu dies.\I'll start cracking now.\Wait!\The cracking...\We're not doing it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: I'll start cracking now.\Wait!\The cracking...\We're not doing it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: Wait!\The cracking...\We're not doing it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: The cracking...\We're not doing it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: We're not doing it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Paradox
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox response:	Meltdown
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox\Meltdown response:	Paradox
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox\Meltdown\Paradox response:	Paradox
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox\Meltdown\Paradox\Paradox response:	Paradox
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox\Meltdown\Paradox\Paradox\Paradox response:	Paradox
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Paradox\Meltdown\Paradox\Paradox\Paradox\Paradox response:	Paradox
context: Engulf me, a lonely observer\Paradox\Meltdown\Paradox\Paradox\Paradox\Paradox\Paradox response:	Paradox
context: Paradox\Meltdown\Paradox\Paradox\Paradox\Paradox\Paradox\Paradox response:	Paradox
context: Meltdown\Paradox\Paradox\Paradox\Paradox\Paradox\Paradox\Paradox response:	Meltdown
context: Paradox\Paradox\Paradox\Paradox\Paradox\Paradox\Paradox\Meltdown response:	Meltdown
context: Paradox\Paradox\Paradox\Paradox\Paradox\Paradox\Meltdown\Meltdown response:	Meltdown
context: Paradox\Paradox\Paradox\Paradox\Paradox\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Paradox\Paradox\Paradox\Paradox\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Paradox\Paradox\Paradox\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Paradox\Paradox\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Paradox\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Meltdown
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown response:	Where's Okabe?
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Where's Okabe? response:	Unknown!
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Where's Okabe?\Unknown! response:	I've been busy.
context: Meltdown\Meltdown\Meltdown\Meltdown\Meltdown\Where's Okabe?\Unknown!\I've been busy. response:	Good luck, Mayushii!
context: Meltdown\Meltdown\Meltdown\Meltdown\Where's Okabe?\Unknown!\I've been busy.\Good luck, Mayushii! response:	You, too, Daru-kun.
context: Meltdown\Meltdown\Meltdown\Where's Okabe?\Unknown!\I've been busy.\Good luck, Mayushii!\You, too, Daru-kun. response:	Is today the last day of Comima?
context: Meltdown\Meltdown\Where's Okabe?\Unknown!\I've been busy.\Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima? response:	Yeah, want to come?
context: Meltdown\Where's Okabe?\Unknown!\I've been busy.\Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come? response:	There's lots of cute cosplay.
context: Where's Okabe?\Unknown!\I've been busy.\Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay. response:	I-I'm not really interested...
context: Unknown!\I've been busy.\Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested... response:	I wonder what Okarin's up to.
context: I've been busy.\Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to. response:	No idea.
context: Good luck, Mayushii!\You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to.\No idea. response:	He said we weren't doing the cracking, and that was it.
context: You, too, Daru-kun.\Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it. response:	What's he thinking?
context: Is today the last day of Comima?\Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking? response:	They said it's gonna reach a high of 35!
context: Yeah, want to come?\There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35! response:	Hydration is the best way to prevent heatstroke.
context: There's lots of cute cosplay.\I-I'm not really interested...\I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35!\Hydration is the best way to prevent heatstroke. response:	Aren't you going to Comima today?
context: I-I'm not really interested...\I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35!\Hydration is the best way to prevent heatstroke.\Aren't you going to Comima today? response:	I'm leaving right now.
context: I wonder what Okarin's up to.\No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35!\Hydration is the best way to prevent heatstroke.\Aren't you going to Comima today?\I'm leaving right now. response:	I see.
context: No idea.\He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35!\Hydration is the best way to prevent heatstroke.\Aren't you going to Comima today?\I'm leaving right now.\I see. response:	Be careful.
context: He said we weren't doing the cracking, and that was it.\What's he thinking?\They said it's gonna reach a high of 35!\Hydration is the best way to prevent heatstroke.\Aren't you going to Comima today?\I'm leaving right now.\I see.\Be careful. response:	Okay.
