context: I must be aware... response:	of the ball,
context: I must be aware...\of the ball, response:	the blockers,
context: I must be aware...\of the ball,\the blockers, response:	and the spikers.
context: I must be aware...\of the ball,\the blockers,\and the spikers. response:	I can't overlook even the slightest movement.
context: I must be aware...\of the ball,\the blockers,\and the spikers.\I can't overlook even the slightest movement. response:	With perfect timing, I must find
context: I must be aware...\of the ball,\the blockers,\and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find response:	the highest point of the spiker's strike...
context: I must be aware...\of the ball,\the blockers,\and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike... response:	And capture it!
context: I must be aware...\of the ball,\the blockers,\and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike...\And capture it! response:	Again.
context: of the ball,\the blockers,\and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike...\And capture it!\Again. response:	Another point!
context: the blockers,\and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike...\And capture it!\Again.\Another point! response:	They've turned it around.
context: and the spikers.\I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike...\And capture it!\Again.\Another point!\They've turned it around. response:	Kageyama-Hinata Tsukishima-Yamaguchi
context: I can't overlook even the slightest movement.\With perfect timing, I must find\the highest point of the spiker's strike...\And capture it!\Again.\Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi response:	One more point and they'll take the first set.
context: With perfect timing, I must find\the highest point of the spiker's strike...\And capture it!\Again.\Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set. response:	His tosses get more accurate every time.
context: the highest point of the spiker's strike...\And capture it!\Again.\Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time. response:	We're seeing Kageyama's true abilities as a setter.
context: And capture it!\Again.\Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter. response:	Score.
context: Again.\Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score. response:	That was awesome, man.
context: Another point!\They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man. response:	But the one who pulled it all out of him...
context: They've turned it around.\Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man.\But the one who pulled it all out of him... response:	Scored again!
context: Kageyama-Hinata Tsukishima-Yamaguchi\One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man.\But the one who pulled it all out of him...\Scored again! response:	Haikyu!!
context: One more point and they'll take the first set.\His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man.\But the one who pulled it all out of him...\Scored again!\Haikyu!! response:	Episode 5: A Coward's Anxiety
context: His tosses get more accurate every time.\We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man.\But the one who pulled it all out of him...\Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety response:	He sure hung in there...
context: We're seeing Kageyama's true abilities as a setter.\Score.\That was awesome, man.\But the one who pulled it all out of him...\Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there... response:	I've never seen anyone take a toss to the face.
context: Score.\That was awesome, man.\But the one who pulled it all out of him...\Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face. response:	You're not scoring any more.
context: That was awesome, man.\But the one who pulled it all out of him...\Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more. response:	Come to me!
context: But the one who pulled it all out of him...\Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me! response:	He's untouchable when he spikes free.
context: Scored again!\Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me!\He's untouchable when he spikes free. response:	Damn.
context: Haikyu!!\Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me!\He's untouchable when he spikes free.\Damn. response:	How do you like me now, Tsukishima?
context: Episode 5: A Coward's Anxiety\He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me!\He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima? response:	Weren't you going to crush me and Hinata?
context: He sure hung in there...\I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me!\He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata? response:	That's right. That's right.
context: I've never seen anyone take a toss to the face.\You're not scoring any more.\Come to me!\He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right. response:	Try it if you can.
context: You're not scoring any more.\Come to me!\He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can. response:	Try it.
context: Come to me!\He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can.\Try it. response:	Why are you bragging the most, Tanaka?
context: He's untouchable when he spikes free.\Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can.\Try it.\Why are you bragging the most, Tanaka? response:	That's right. You're scoring thanks to the first-years.
context: Damn.\How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can.\Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years. response:	You have a big attitude.
context: How do you like me now, Tsukishima?\Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can.\Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude. response:	Don't take off your shirt, baldie.
