context: Inuyasha at last broke through Naraku's barrier! response:	But before he could render the final blow,
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow, response:	Naraku, who had been seriously injured, escaped.
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped. response:	That was only because Naraku resorted to a dastardly trick using Kohaku.
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku. response:	But who would have thought that Sesshomaru would save Kohaku!
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku! response:	But with Naraku's disappearance...
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance... response:	we were actually grateful for the brief respite.
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite. response:	Especially Inuyasha.
context: Inuyasha at last broke through Naraku's barrier!\But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha. response:	Our journey's aim is to destroy Naraku
context: But before he could render the final blow,\Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku response:	and gather all the shards of the Sacred Jewel.
context: Naraku, who had been seriously injured, escaped.\That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel. response:	We continue onward!
context: That was only because Naraku resorted to a dastardly trick using Kohaku.\But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward! response:	You'd better back down, or I'll get serious.
