context: My name is Motoyama Tomomichi. response:	I'm ugly.
context: My name is Motoyama Tomomichi.\I'm ugly. response:	My friend wants to meet behind the school building.
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building. response:	What could he want?
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building.\What could he want? response:	Yamane-dono!
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building.\What could he want?\Yamane-dono! response:	Motoyama-kun.
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building.\What could he want?\Yamane-dono!\Motoyama-kun. response:	She would be Kurihara-dono.
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building.\What could he want?\Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono. response:	Leave Behind My Corpse
context: My name is Motoyama Tomomichi.\I'm ugly.\My friend wants to meet behind the school building.\What could he want?\Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono.\Leave Behind My Corpse response:	The kind lady who has shown affection to as gross a man as Yamane-dono.
context: I'm ugly.\My friend wants to meet behind the school building.\What could he want?\Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono.\Leave Behind My Corpse\The kind lady who has shown affection to as gross a man as Yamane-dono. response:	Why would you bring me here when you're alone together?
context: My friend wants to meet behind the school building.\What could he want?\Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono.\Leave Behind My Corpse\The kind lady who has shown affection to as gross a man as Yamane-dono.\Why would you bring me here when you're alone together? response:	Well, Kurihara-san called me here.
context: What could he want?\Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono.\Leave Behind My Corpse\The kind lady who has shown affection to as gross a man as Yamane-dono.\Why would you bring me here when you're alone together?\Well, Kurihara-san called me here. response:	It's the first time a girl's asked me to meet behind the school.
context: Yamane-dono!\Motoyama-kun.\She would be Kurihara-dono.\Leave Behind My Corpse\The kind lady who has shown affection to as gross a man as Yamane-dono.\Why would you bring me here when you're alone together?\Well, Kurihara-san called me here.\It's the first time a girl's asked me to meet behind the school. response:	I was afraid of coming alone, so I wanted you to come along.
