context: I was simply entranced by that outfit's beauty. response:	This will be your wedding dress.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress. response:	I could hardly wait.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait. response:	When I grew up, I would be able to wear that outfit.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit. response:	I merely yearned for it.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it. response:	At the time, I had no idea what wedding dress implied.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied. response:	The name of that outfit was Junketsu purity.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity. response:	I was still an ignorant little girl back then.
context: I was simply entranced by that outfit's beauty.\This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then. response:	It's unthinkable that someone beat me to the punch.
context: This will be your wedding dress.\I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch. response:	EPISODE 3 JUNKETSU
context: I could hardly wait.\When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU response:	The Hitler Cabinet was inaugurated on January 10th, 1933.
context: When I grew up, I would be able to wear that outfit.\I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933. response:	HONNOUJI ACADEMY
