context: In this world, dominated by machines, response:	some humans side with the machines.
context: In this world, dominated by machines,\some humans side with the machines. response:	Everyone has their own reasons.
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons. response:	You're going to side with the machines and sell out the humans?
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans? response:	What do you know?
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know? response:	Damn you!
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know?\Damn you! response:	Machines and humans are the same.
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know?\Damn you!\Machines and humans are the same. response:	Just kill me!
context: In this world, dominated by machines,\some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know?\Damn you!\Machines and humans are the same.\Just kill me! response:	No! We are not the same.
context: some humans side with the machines.\Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know?\Damn you!\Machines and humans are the same.\Just kill me!\No! We are not the same. response:	God created this world in seven days.
context: Everyone has their own reasons.\You're going to side with the machines and sell out the humans?\What do you know?\Damn you!\Machines and humans are the same.\Just kill me!\No! We are not the same.\God created this world in seven days. response:	Isn't it just as easy to destroy it, then?
context: You're going to side with the machines and sell out the humans?\What do you know?\Damn you!\Machines and humans are the same.\Just kill me!\No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then? response:	But why?
context: What do you know?\Damn you!\Machines and humans are the same.\Just kill me!\No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why? response:	Seems it's a great deal of trouble.
context: Damn you!\Machines and humans are the same.\Just kill me!\No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble. response:	Big brother,
context: Machines and humans are the same.\Just kill me!\No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble.\Big brother, response:	this is the gun you gave to the little lady, isn't it?
context: Just kill me!\No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it? response:	I fixed it up great.
context: No! We are not the same.\God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great. response:	Here! All repaired.
context: God created this world in seven days.\Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired. response:	Take better care of it.
context: Isn't it just as easy to destroy it, then?\But why?\Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired.\Take better care of it. response:	Got it.
context: But why?\Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired.\Take better care of it.\Got it. response:	Thanks.
context: Seems it's a great deal of trouble.\Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired.\Take better care of it.\Got it.\Thanks. response:	You're pretty careful.
context: Big brother,\this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired.\Take better care of it.\Got it.\Thanks.\You're pretty careful. response:	Don't sneak in like a thief.
context: this is the gun you gave to the little lady, isn't it?\I fixed it up great.\Here! All repaired.\Take better care of it.\Got it.\Thanks.\You're pretty careful.\Don't sneak in like a thief. response:	You might end up being shot.
context: I fixed it up great.\Here! All repaired.\Take better care of it.\Got it.\Thanks.\You're pretty careful.\Don't sneak in like a thief.\You might end up being shot. response:	Sorry for last time.
context: Here! All repaired.\Take better care of it.\Got it.\Thanks.\You're pretty careful.\Don't sneak in like a thief.\You might end up being shot.\Sorry for last time. response:	My information was wrong.
context: Take better care of it.\Got it.\Thanks.\You're pretty careful.\Don't sneak in like a thief.\You might end up being shot.\Sorry for last time.\My information was wrong. response:	Don't get your information wrong.
context: Got it.\Thanks.\You're pretty careful.\Don't sneak in like a thief.\You might end up being shot.\Sorry for last time.\My information was wrong.\Don't get your information wrong. response:	I'm okay.
context: Thanks.\You're pretty careful.\Don't sneak in like a thief.\You might end up being shot.\Sorry for last time.\My information was wrong.\Don't get your information wrong.\I'm okay. response:	I'm okay.
context: You're pretty careful.\Don't sneak in like a thief.\You might end up being shot.\Sorry for last time.\My information was wrong.\Don't get your information wrong.\I'm okay.\I'm okay. response:	Does your okay means you want it or you don't?
context: Don't sneak in like a thief.\You might end up being shot.\Sorry for last time.\My information was wrong.\Don't get your information wrong.\I'm okay.\I'm okay.\Does your okay means you want it or you don't? response:	No, I don't want it.
context: You might end up being shot.\Sorry for last time.\My information was wrong.\Don't get your information wrong.\I'm okay.\I'm okay.\Does your okay means you want it or you don't?\No, I don't want it. response:	There's one named Jay.
context: Sorry for last time.\My information was wrong.\Don't get your information wrong.\I'm okay.\I'm okay.\Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay. response:	Jay?
context: My information was wrong.\Don't get your information wrong.\I'm okay.\I'm okay.\Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay.\Jay? response:	An officer in the machine military. High-ranking.
context: Don't get your information wrong.\I'm okay.\I'm okay.\Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay.\Jay?\An officer in the machine military. High-ranking. response:	You're his target.
context: I'm okay.\I'm okay.\Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay.\Jay?\An officer in the machine military. High-ranking.\You're his target. response:	You're certain this time?
context: I'm okay.\Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay.\Jay?\An officer in the machine military. High-ranking.\You're his target.\You're certain this time? response:	Yeah...
context: Does your okay means you want it or you don't?\No, I don't want it.\There's one named Jay.\Jay?\An officer in the machine military. High-ranking.\You're his target.\You're certain this time?\Yeah... response:	So you come here to say what?
context: No, I don't want it.\There's one named Jay.\Jay?\An officer in the machine military. High-ranking.\You're his target.\You're certain this time?\Yeah...\So you come here to say what? response:	To tell you to be careful.
context: There's one named Jay.\Jay?\An officer in the machine military. High-ranking.\You're his target.\You're certain this time?\Yeah...\So you come here to say what?\To tell you to be careful. response:	Is that it? Just be careful?
context: Jay?\An officer in the machine military. High-ranking.\You're his target.\You're certain this time?\Yeah...\So you come here to say what?\To tell you to be careful.\Is that it? Just be careful? response:	And you're not going to do anything?
context: An officer in the machine military. High-ranking.\You're his target.\You're certain this time?\Yeah...\So you come here to say what?\To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything? response:	I know that style.
context: You're his target.\You're certain this time?\Yeah...\So you come here to say what?\To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything?\I know that style. response:	You take no risks,
context: You're certain this time?\Yeah...\So you come here to say what?\To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything?\I know that style.\You take no risks, response:	just saying good luck or talking about how you care about me.
context: Yeah...\So you come here to say what?\To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything?\I know that style.\You take no risks,\just saying good luck or talking about how you care about me. response:	It doesn't cost you anything to say that, does it?
context: So you come here to say what?\To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything?\I know that style.\You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it? response:	What good do you think that is
context: To tell you to be careful.\Is that it? Just be careful?\And you're not going to do anything?\I know that style.\You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is response:	to the person you're talking to?
context: Is that it? Just be careful?\And you're not going to do anything?\I know that style.\You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to? response:	You just want to please yourself, you know that?
context: And you're not going to do anything?\I know that style.\You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that? response:	You're right.
context: I know that style.\You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that?\You're right. response:	He has a special gun, I heard.
context: You take no risks,\just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that?\You're right.\He has a special gun, I heard. response:	Special? How?
context: just saying good luck or talking about how you care about me.\It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that?\You're right.\He has a special gun, I heard.\Special? How? response:	I don't know.
context: It doesn't cost you anything to say that, does it?\What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that?\You're right.\He has a special gun, I heard.\Special? How?\I don't know. response:	Hey, hey. Wait a second.
context: What good do you think that is\to the person you're talking to?\You just want to please yourself, you know that?\You're right.\He has a special gun, I heard.\Special? How?\I don't know.\Hey, hey. Wait a second. response:	What do you want to do, you puny humans?
context: to the person you're talking to?\You just want to please yourself, you know that?\You're right.\He has a special gun, I heard.\Special? How?\I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans? response:	You want to mess with me, human?
context: You just want to please yourself, you know that?\You're right.\He has a special gun, I heard.\Special? How?\I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human? response:	Better stop looking down on the machines!!
context: You're right.\He has a special gun, I heard.\Special? How?\I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!! response:	You probably wonder how long I'd continue to sing in front of Machines.
context: He has a special gun, I heard.\Special? How?\I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines. response:	You may think its worthless,
context: Special? How?\I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless, response:	but I'm a singer.
context: I don't know.\Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer. response:	I cannot live without singing.
context: Hey, hey. Wait a second.\What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer.\I cannot live without singing. response:	Even in front of machines, it's better than not singing.
context: What do you want to do, you puny humans?\You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing. response:	That despair is the sickness unto death.
context: You want to mess with me, human?\Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death. response:	Kierkegaard, wasn't it?
context: Better stop looking down on the machines!!\You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it? response:	I agree with him.
context: You probably wonder how long I'd continue to sing in front of Machines.\You may think its worthless,\but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him. response:	So I'll keep on living and stay optimistic under any devastating conditions.
context: You may think its worthless,\but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions. response:	Machines want to copy everything humans do,
context: but I'm a singer.\I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do, response:	so I sing for them.
context: I cannot live without singing.\Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them. response:	But at the same time,
context: Even in front of machines, it's better than not singing.\That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them.\But at the same time, response:	they need to feel fear as well.
context: That despair is the sickness unto death.\Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them.\But at the same time,\they need to feel fear as well. response:	Otherwise, they wouldn't be the same as us.
context: Kierkegaard, wasn't it?\I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them.\But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us. response:	Though, I do not know if they have this emotion we call fear.
context: I agree with him.\So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them.\But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear. response:	Isn't it dangerous, you ask?
context: So I'll keep on living and stay optimistic under any devastating conditions.\Machines want to copy everything humans do,\so I sing for them.\But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask? response:	Of course, it is dangerous.
context: Machines want to copy everything humans do,\so I sing for them.\But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous. response:	But that's where the fun is. It makes me feel alive.
context: so I sing for them.\But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive. response:	Even in the Reserve Area, if we continue destroying them,
context: But at the same time,\they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them, response:	they'll strike back.
context: they need to feel fear as well.\Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back. response:	That's the fun part.
context: Otherwise, they wouldn't be the same as us.\Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part. response:	You see, I'm not afraid of dying.
context: Though, I do not know if they have this emotion we call fear.\Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part.\You see, I'm not afraid of dying. response:	die properly as I feel the fear.
context: Isn't it dangerous, you ask?\Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear. response:	Oh, it's time the little lady got here.
context: Of course, it is dangerous.\But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here. response:	I heard about you from Xiaogang.
context: But that's where the fun is. It makes me feel alive.\Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang. response:	You are one of Eleven.
context: Even in the Reserve Area, if we continue destroying them,\they'll strike back.\That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven. response:	Isn't this a Wizard Gun?
context: they'll strike back.\That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun? response:	You know of them?
context: That's the fun part.\You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun?\You know of them? response:	I've heard about it, but this is my first time seeing one in person.
context: You see, I'm not afraid of dying.\die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person. response:	Care for a drink?
context: die properly as I feel the fear.\Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink? response:	I don't drink alcohol.
context: Oh, it's time the little lady got here.\I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol. response:	We, Eleven, are born to resist against machines.
context: I heard about you from Xiaogang.\You are one of Eleven.\Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines. response:	We're monsters, in a sense.
context: You are one of Eleven.\Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense. response:	I'm not a monster.
context: Isn't this a Wizard Gun?\You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster. response:	I'm not the same as you.
context: You know of them?\I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster.\I'm not the same as you. response:	It is not the strongest of the pieces that survives,
context: I've heard about it, but this is my first time seeing one in person.\Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives, response:	nor the most intelligent, but rather the one most adaptable to change.
context: Care for a drink?\I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change. response:	Evolution Theory...
