context: All right! response:	Boys' Bathroom
context: All right!\Boys' Bathroom response:	You've got a lumpy face, Tadashi.
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi. response:	Why are you so puny?
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny? response:	You've got to bulk up, so you get to carry all of our bags.
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags. response:	Seriously? You're crying?
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying? response:	He cries about everything!
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything! response:	You crybaby.
context: All right!\Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything!\You crybaby. response:	What're you looking at?
context: Boys' Bathroom\You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything!\You crybaby.\What're you looking at? response:	Hey, isn't he a sixth grader?
context: You've got a lumpy face, Tadashi.\Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything!\You crybaby.\What're you looking at?\Hey, isn't he a sixth grader? response:	No, he's just from class 3.
context: Why are you so puny?\You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything!\You crybaby.\What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3. response:	Lame.
context: You've got to bulk up, so you get to carry all of our bags.\Seriously? You're crying?\He cries about everything!\You crybaby.\What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame. response:	What'd you mean?!
context: Seriously? You're crying?\He cries about everything!\You crybaby.\What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame.\What'd you mean?! response:	Hey, wait a sec!
context: He cries about everything!\You crybaby.\What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame.\What'd you mean?!\Hey, wait a sec! response:	What?
context: You crybaby.\What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame.\What'd you mean?!\Hey, wait a sec!\What? response:	Y-You're lame, four-eyes!
context: What're you looking at?\Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame.\What'd you mean?!\Hey, wait a sec!\What?\Y-You're lame, four-eyes! response:	Stupid! Stupid! Stupid!
context: Hey, isn't he a sixth grader?\No, he's just from class 3.\Lame.\What'd you mean?!\Hey, wait a sec!\What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid! response:	H-Hey, wait a sec.
context: No, he's just from class 3.\Lame.\What'd you mean?!\Hey, wait a sec!\What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec. response:	Lame.
context: Lame.\What'd you mean?!\Hey, wait a sec!\What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame. response:	At the time, Tsukki might have actually been talking about me, too.
