context: You mustn't disturb him. response:	He has passed on.
context: You mustn't disturb him.\He has passed on. response:	It appears to be a fruit knife.
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife. response:	This has become a grave situation.
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife.\This has become a grave situation. response:	Oh?
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife.\This has become a grave situation.\Oh? response:	It penetrated his notebook.
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife.\This has become a grave situation.\Oh?\It penetrated his notebook. response:	The perpetrator must possess considerable physical strength.
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife.\This has become a grave situation.\Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength. response:	Which means...
context: You mustn't disturb him.\He has passed on.\It appears to be a fruit knife.\This has become a grave situation.\Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means... response:	And the fact that Yutaka Tamaru-san is nowhere to be seen...
context: He has passed on.\It appears to be a fruit knife.\This has become a grave situation.\Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen... response:	We probably shouldn't tell Little Sister...
context: It appears to be a fruit knife.\This has become a grave situation.\Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister... response:	It'd be best if we didn't tell her.
context: This has become a grave situation.\Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her. response:	This turn of events requires some deliberation.
context: Oh?\It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation. response:	This situation is, for all intents and purposes, a closed circle.
context: It penetrated his notebook.\The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle. response:	And at first glance, it would also appear to be homicide.
context: The perpetrator must possess considerable physical strength.\Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide. response:	Furthermore...
