context: Go out with you? response:	I don't really know.
context: Go out with you?\I don't really know. response:	Yeah.
context: Go out with you?\I don't really know.\Yeah. response:	Give me some time to answer.
context: Go out with you?\I don't really know.\Yeah.\Give me some time to answer. response:	Yeah.
context: Go out with you?\I don't really know.\Yeah.\Give me some time to answer.\Yeah. response:	I've hardly talked to Azumi-kun since then.
context: Go out with you?\I don't really know.\Yeah.\Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then. response:	Hi-yah!
context: Go out with you?\I don't really know.\Yeah.\Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah! response:	What the heck?
context: Go out with you?\I don't really know.\Yeah.\Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck? response:	Bullet train!
context: I don't really know.\Yeah.\Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck?\Bullet train! response:	Yay!
context: Yeah.\Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck?\Bullet train!\Yay! response:	You're pretty excited.
context: Give me some time to answer.\Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck?\Bullet train!\Yay!\You're pretty excited. response:	Did you bring underwear, Kota?
context: Yeah.\I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck?\Bullet train!\Yay!\You're pretty excited.\Did you bring underwear, Kota? response:	Shut up.
context: I've hardly talked to Azumi-kun since then.\Hi-yah!\What the heck?\Bullet train!\Yay!\You're pretty excited.\Did you bring underwear, Kota?\Shut up. response:	Roman, I'm upgrading from boxers to make my boxer briefs debut today.
context: Hi-yah!\What the heck?\Bullet train!\Yay!\You're pretty excited.\Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today. response:	Better look forward to it.
context: What the heck?\Bullet train!\Yay!\You're pretty excited.\Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it. response:	What? Finally?
context: Bullet train!\Yay!\You're pretty excited.\Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally? response:	Wait, really?
context: Yay!\You're pretty excited.\Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally?\Wait, really? response:	I've always worn boxer briefs.
context: You're pretty excited.\Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally?\Wait, really?\I've always worn boxer briefs. response:	My debut...
context: Did you bring underwear, Kota?\Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally?\Wait, really?\I've always worn boxer briefs.\My debut... response:	We're doing a luggage check.
context: Shut up.\Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally?\Wait, really?\I've always worn boxer briefs.\My debut...\We're doing a luggage check. response:	Sensei, that's a girl's...
context: Roman, I'm upgrading from boxers to make my boxer briefs debut today.\Better look forward to it.\What? Finally?\Wait, really?\I've always worn boxer briefs.\My debut...\We're doing a luggage check.\Sensei, that's a girl's... response:	Okay, next.
context: Better look forward to it.\What? Finally?\Wait, really?\I've always worn boxer briefs.\My debut...\We're doing a luggage check.\Sensei, that's a girl's...\Okay, next. response:	All right, I'll check it, then.
context: What? Finally?\Wait, really?\I've always worn boxer briefs.\My debut...\We're doing a luggage check.\Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then. response:	No cell phones, remember?
context: Wait, really?\I've always worn boxer briefs.\My debut...\We're doing a luggage check.\Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then.\No cell phones, remember? response:	I'll hold on to this.
context: I've always worn boxer briefs.\My debut...\We're doing a luggage check.\Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this. response:	She caught me!
context: My debut...\We're doing a luggage check.\Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this.\She caught me! response:	Too bad. Hidaka was so easy.
context: We're doing a luggage check.\Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy. response:	Potato Chips Lightly Salted
context: Sensei, that's a girl's...\Okay, next.\All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted response:	All right, next.
context: Okay, next.\All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next. response:	They got quite a few of us.
context: All right, I'll check it, then.\No cell phones, remember?\I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next.\They got quite a few of us. response:	Where were you hiding your phone?
context: No cell phones, remember?\I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next.\They got quite a few of us.\Where were you hiding your phone? response:	I hid mine in my underwear.
context: I'll hold on to this.\She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next.\They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear. response:	Her phone's in her panties?!
context: She caught me!\Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next.\They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?! response:	Dude, don't.
context: Too bad. Hidaka was so easy.\Potato Chips Lightly Salted\All right, next.\They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't. response:	Panties!
context: Potato Chips Lightly Salted\All right, next.\They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't.\Panties! response:	Seriously? That's hot.
context: All right, next.\They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't.\Panties!\Seriously? That's hot. response:	Ta-da.
context: They got quite a few of us.\Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't.\Panties!\Seriously? That's hot.\Ta-da. response:	Wow.
context: Where were you hiding your phone?\I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't.\Panties!\Seriously? That's hot.\Ta-da.\Wow. response:	You really can't tell.
context: I hid mine in my underwear.\Her phone's in her panties?!\Dude, don't.\Panties!\Seriously? That's hot.\Ta-da.\Wow.\You really can't tell. response:	I opened it once, then closed it with tape.
context: Her phone's in her panties?!\Dude, don't.\Panties!\Seriously? That's hot.\Ta-da.\Wow.\You really can't tell.\I opened it once, then closed it with tape. response:	Here.
context: Dude, don't.\Panties!\Seriously? That's hot.\Ta-da.\Wow.\You really can't tell.\I opened it once, then closed it with tape.\Here. response:	Good, now I'll be ready if she sends an answer.
context: Panties!\Seriously? That's hot.\Ta-da.\Wow.\You really can't tell.\I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer. response:	Point the camera to the right, Akanecchi.
context: Seriously? That's hot.\Ta-da.\Wow.\You really can't tell.\I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi. response:	Like this?
context: Ta-da.\Wow.\You really can't tell.\I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this? response:	No... Up.
context: Wow.\You really can't tell.\I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this?\No... Up. response:	Like this?
context: You really can't tell.\I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this?\No... Up.\Like this? response:	God of Relationship Success
context: I opened it once, then closed it with tape.\Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this?\No... Up.\Like this?\God of Relationship Success response:	Relationship Stone
context: Here.\Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this?\No... Up.\Like this?\God of Relationship Success\Relationship Stone response:	It's supposed to be a god of relationship success.
context: Good, now I'll be ready if she sends an answer.\Point the camera to the right, Akanecchi.\Like this?\No... Up.\Like this?\God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success. response:	Romance Fortunes Jinushi Shrine Kyoto
context: Point the camera to the right, Akanecchi.\Like this?\No... Up.\Like this?\God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto response:	Hey, is semi-good good or bad?
context: Like this?\No... Up.\Like this?\God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad? response:	Your luck ends where your money ends.
context: No... Up.\Like this?\God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends. response:	What?!
context: Like this?\God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?! response:	Nagahara!
context: God of Relationship Success\Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?!\Nagahara! response:	Nagahara!
context: Relationship Stone\It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?!\Nagahara!\Nagahara! response:	Romance Fortune Kyoto Jinushi Shrine
context: It's supposed to be a god of relationship success.\Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?!\Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine response:	104: Bad Luck
context: Romance Fortunes Jinushi Shrine Kyoto\Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?!\Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck response:	108: Excellent Luck
context: Hey, is semi-good good or bad?\Your luck ends where your money ends.\What?!\Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck response:	Hey, you got excellent luck.
context: Your luck ends where your money ends.\What?!\Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck. response:	Yeah.
context: What?!\Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck.\Yeah. response:	Romance: Ambiguity brings calamity.
context: Nagahara!\Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity. response:	Akane!
context: Nagahara!\Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity.\Akane! response:	Akane.
context: Romance Fortune Kyoto Jinushi Shrine\104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity.\Akane!\Akane. response:	Let's pick out gifts for the club members.
context: 104: Bad Luck\108: Excellent Luck\Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity.\Akane!\Akane.\Let's pick out gifts for the club members. response:	Good idea.
context: 108: Excellent Luck\Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity.\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea. response:	One, two...
context: Hey, you got excellent luck.\Yeah.\Romance: Ambiguity brings calamity.\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\One, two... response:	For eight?
context: Yeah.\Romance: Ambiguity brings calamity.\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\One, two...\For eight? response:	Yeah, that's right.
context: Romance: Ambiguity brings calamity.\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\One, two...\For eight?\Yeah, that's right. response:	How about handkerchiefs?
context: Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\One, two...\For eight?\Yeah, that's right.\How about handkerchiefs? response:	That's kinda boring.
context: Akane.\Let's pick out gifts for the club members.\Good idea.\One, two...\For eight?\Yeah, that's right.\How about handkerchiefs?\That's kinda boring. response:	Keychains?
context: Let's pick out gifts for the club members.\Good idea.\One, two...\For eight?\Yeah, that's right.\How about handkerchiefs?\That's kinda boring.\Keychains? response:	Snacks for the boys.
context: Good idea.\One, two...\For eight?\Yeah, that's right.\How about handkerchiefs?\That's kinda boring.\Keychains?\Snacks for the boys. response:	Curly-kun.
context: One, two...\For eight?\Yeah, that's right.\How about handkerchiefs?\That's kinda boring.\Keychains?\Snacks for the boys.\Curly-kun. response:	Pick one.
context: For eight?\Yeah, that's right.\How about handkerchiefs?\That's kinda boring.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one. response:	Me?
