context: My place is close by. Wanna stop by? response:	B-But didn't you say you have a boyfriend?
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend? response:	Sorry, I lied.
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied. response:	I made it up because you brought along such a pretty girlfriend.
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend. response:	M-Mami-chan?
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan? response:	now
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now response:	Imai Miharuh Good job getting through that! Night!
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night! response:	Oh, sorry!
context: My place is close by. Wanna stop by?\B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night!\Oh, sorry! response:	My little brother has his friends over, so we can't go to my place.
context: B-But didn't you say you have a boyfriend?\Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place. response:	Inner Desires
context: Sorry, I lied.\I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires response:	Gah, I wanna go! I wanna see her room!
context: I made it up because you brought along such a pretty girlfriend.\M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room! response:	O-Oh, really? Are you and your brother close?
context: M-Mami-chan?\now\Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close? response:	Be a Gentleman
context: now\Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close?\Be a Gentleman response:	No way. He's a total brat.
context: Imai Miharuh Good job getting through that! Night!\Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close?\Be a Gentleman\No way. He's a total brat. response:	But wait, she was trying to invite me over, right?
context: Oh, sorry!\My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close?\Be a Gentleman\No way. He's a total brat.\But wait, she was trying to invite me over, right? response:	I've totally got a shot!
context: My little brother has his friends over, so we can't go to my place.\Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close?\Be a Gentleman\No way. He's a total brat.\But wait, she was trying to invite me over, right?\I've totally got a shot! response:	I can take her home instead!
context: Inner Desires\Gah, I wanna go! I wanna see her room!\O-Oh, really? Are you and your brother close?\Be a Gentleman\No way. He's a total brat.\But wait, she was trying to invite me over, right?\I've totally got a shot!\I can take her home instead! response:	Kazu-kun?!
