context: From one fierce battle after another, response:	we Alliance members had finally defeated all the members of Oracion Seis!
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis! response:	But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock! response:	What'll we do?!
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?! response:	I wonder for how long...
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long... response:	How long will I be able to remain anchored at this harbor known as battle?
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle? response:	That's him!
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him! response:	Jellal!
context: From one fierce battle after another,\we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal! response:	Wendy!
context: we Alliance members had finally defeated all the members of Oracion Seis!\But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal!\Wendy! response:	You're safe? I'm glad.
context: But that triggered the seal on Brain's alternate personality, Master Zero, to unlock!\What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal!\Wendy!\You're safe? I'm glad. response:	Yes.
context: What'll we do?!\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal!\Wendy!\You're safe? I'm glad.\Yes. response:	Jellal...
