context: What's the matter? response:	You can't stand?
context: What's the matter?\You can't stand? response:	Fist of Flowing Water, Crushed Rock
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock response:	Charanko, what have you been doing here the last six months?
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months? response:	Didn't I tell you that if you were going to become my student,
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student, response:	you needed to train like your life depended on it?
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it? response:	You won't be able to learn any techniques.
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques. response:	You're not fit to be a martial artist.
context: What's the matter?\You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist. response:	I am expelling you from this dojo as of today.
context: You can't stand?\Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today. response:	Don't ever come back again.
context: Fist of Flowing Water, Crushed Rock\Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again. response:	Bang is acting strange?
context: Charanko, what have you been doing here the last six months?\Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange? response:	The Hunt Begins
context: Didn't I tell you that if you were going to become my student,\you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange?\The Hunt Begins response:	He suddenly said we were going to do a lesson, then beat the crap out of me.
context: you needed to train like your life depended on it?\You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me. response:	I can't believe someone as kind as Master Bang would do this.
context: You won't be able to learn any techniques.\You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this. response:	There has to be a reason.
