context: We can't be together anymore. response:	Wait, Shione!
context: We can't be together anymore.\Wait, Shione! response:	Why?
context: We can't be together anymore.\Wait, Shione!\Why? response:	Let's work together, like way back when.
context: We can't be together anymore.\Wait, Shione!\Why?\Let's work together, like way back when. response:	We're all waiting for you.
context: We can't be together anymore.\Wait, Shione!\Why?\Let's work together, like way back when.\We're all waiting for you. response:	We can do it, the five of us together!
context: We can't be together anymore.\Wait, Shione!\Why?\Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together! response:	I'll be waiting for you.
context: We can't be together anymore.\Wait, Shione!\Why?\Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you. response:	The Meaning of Goodbye
context: We can't be together anymore.\Wait, Shione!\Why?\Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye response:	Nonoka, did something happen with Shione?
context: Wait, Shione!\Why?\Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione? response:	I thought we were friends again yesterday.
context: Why?\Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday. response:	She said she'd work on it with us.
context: Let's work together, like way back when.\We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us. response:	Is Togawa holding onto something again?
context: We're all waiting for you.\We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again? response:	No, it's my fault.
context: We can do it, the five of us together!\I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault. response:	Oh, come on.
context: I'll be waiting for you.\The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault.\Oh, come on. response:	Shione's just being shy.
context: The Meaning of Goodbye\Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault.\Oh, come on.\Shione's just being shy. response:	Yuzuki!
context: Nonoka, did something happen with Shione?\I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault.\Oh, come on.\Shione's just being shy.\Yuzuki! response:	She wants to be with us, but she's too embarrassed.
context: I thought we were friends again yesterday.\She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault.\Oh, come on.\Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed. response:	You don't know that.
context: She said she'd work on it with us.\Is Togawa holding onto something again?\No, it's my fault.\Oh, come on.\Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that. response:	She told me.
context: Is Togawa holding onto something again?\No, it's my fault.\Oh, come on.\Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that.\She told me. response:	I said, Do you like Nonoka or not? Tell me.
context: No, it's my fault.\Oh, come on.\Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me. response:	I'm impressed you asked that.
context: Oh, come on.\Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that. response:	What did Shione say?
context: Shione's just being shy.\Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say? response:	Of course.
context: Yuzuki!\She wants to be with us, but she's too embarrassed.\You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say?\Of course. response:	So don't be discouraged, Nonoka.
context: She wants to be with us, but she's too embarrassed.\You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say?\Of course.\So don't be discouraged, Nonoka. response:	Thanks.
context: You don't know that.\She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say?\Of course.\So don't be discouraged, Nonoka.\Thanks. response:	I'll be fine.
context: She told me.\I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say?\Of course.\So don't be discouraged, Nonoka.\Thanks.\I'll be fine. response:	I trust Shione.
context: I said, Do you like Nonoka or not? Tell me.\I'm impressed you asked that.\What did Shione say?\Of course.\So don't be discouraged, Nonoka.\Thanks.\I'll be fine.\I trust Shione. response:	Hokubi Festival Invitation
context: I'm impressed you asked that.\What did Shione say?\Of course.\So don't be discouraged, Nonoka.\Thanks.\I'll be fine.\I trust Shione.\Hokubi Festival Invitation response:	Noel.
context: What did Shione say?\Of course.\So don't be discouraged, Nonoka.\Thanks.\I'll be fine.\I trust Shione.\Hokubi Festival Invitation\Noel. response:	Shione.
context: Of course.\So don't be discouraged, Nonoka.\Thanks.\I'll be fine.\I trust Shione.\Hokubi Festival Invitation\Noel.\Shione. response:	Huh, aren't you with Nonoka and the others?
context: So don't be discouraged, Nonoka.\Thanks.\I'll be fine.\I trust Shione.\Hokubi Festival Invitation\Noel.\Shione.\Huh, aren't you with Nonoka and the others? response:	Noel, there's something I want to ask you.
context: Thanks.\I'll be fine.\I trust Shione.\Hokubi Festival Invitation\Noel.\Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you. response:	What is it, Shione?
context: I'll be fine.\I trust Shione.\Hokubi Festival Invitation\Noel.\Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione? response:	What happens to the saucer
context: I trust Shione.\Hokubi Festival Invitation\Noel.\Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer response:	once you grant our wish?
