context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	will set out on their journey as the war rages on
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow? response:	Slicing through the darkness, they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward response:	that blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross! response:	The Macross, which launched in haste in order to avoid an enemy attack,
context: and fight to protect their loved ones\will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack, response:	failed in its attempt to execute a space fold to the far side of the Moon.
context: will set out on their journey as the war rages on\Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon. response:	Instead, the Macross and its island base were transported not to the Moon,
context: Will you love me tomorrow?\Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon, response:	but just inside the orbit of Pluto.
context: Slicing through the darkness, they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto. response:	Daedulus, respond!
context: that blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond! response:	Air leaks at each block confirmed!
context: Macross! Macross!\Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed! response:	Service personnel, please stand by!
context: Macross!\The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by! response:	Bringing in the shelters is our first priority.
context: The Macross, which launched in haste in order to avoid an enemy attack,\failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority. response:	That's where the evacuees from the city are!
context: failed in its attempt to execute a space fold to the far side of the Moon.\Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are! response:	Captain, we can't contact the Prometheus or the Daedalus.
context: Instead, the Macross and its island base were transported not to the Moon,\but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus. response:	The chances of finding any survivors are...
context: but just inside the orbit of Pluto.\Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are... response:	I thought as much.
context: Daedulus, respond!\Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much. response:	They're just aircraft carriers.
context: Air leaks at each block confirmed!\Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers. response:	They weren't designed to fly into space.
context: Service personnel, please stand by!\Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space. response:	Hayase, issue an order to the work vessels.
context: Bringing in the shelters is our first priority.\That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels. response:	Tell them to pull the carriers here toward us.
context: That's where the evacuees from the city are!\Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us. response:	Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!
context: Captain, we can't contact the Prometheus or the Daedalus.\The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II! response:	We should be able to use their ship-based weapons.
context: The chances of finding any survivors are...\I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons. response:	I wonder if it will work?
context: I thought as much.\They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work? response:	I'm counting on the efforts of the work teams.
context: They're just aircraft carriers.\They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams. response:	Once we've retrieved the people from the shelters,
context: They weren't designed to fly into space.\Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters, response:	we're going to round up everything that's floating around out there.
context: Hayase, issue an order to the work vessels.\Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there. response:	Hikaru Ichijo, the air-race pilot who came to see
context: Tell them to pull the carriers here toward us.\Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see response:	the launching of the Macross only to find himself in the middle of a war,
context: Don't tell me you're going to dock with them instead of ARMD-I and ARMD-II!\We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war, response:	and Lynn Minmay, the young girl that he rescued,
context: We should be able to use their ship-based weapons.\I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued, response:	narrowly escaped death by flying inside the Macross itself.
context: I wonder if it will work?\I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself. response:	However...
context: I'm counting on the efforts of the work teams.\Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However... response:	LYNN MINMAY
context: Once we've retrieved the people from the shelters,\we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY response:	Here goes.
context: we're going to round up everything that's floating around out there.\Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY\Here goes. response:	Come on, why don't you give up on that?
context: Hikaru Ichijo, the air-race pilot who came to see\the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY\Here goes.\Come on, why don't you give up on that? response:	It will be faster just to call someone to come get us, right?
context: the launching of the Macross only to find himself in the middle of a war,\and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY\Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right? response:	What is it?
context: and Lynn Minmay, the young girl that he rescued,\narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY\Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it? response:	The communicator's busted.
context: narrowly escaped death by flying inside the Macross itself.\However...\LYNN MINMAY\Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted. response:	What's that?
context: However...\LYNN MINMAY\Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted.\What's that? response:	A compass.
context: LYNN MINMAY\Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted.\What's that?\A compass. response:	I thought a compass was shaped like this.
context: Here goes.\Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted.\What's that?\A compass.\I thought a compass was shaped like this. response:	So, it's not the kind of compass you draw circles with.
context: Come on, why don't you give up on that?\It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted.\What's that?\A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with. response:	This ship is huge. With this, we'll always know where the racer is.
context: It will be faster just to call someone to come get us, right?\What is it?\The communicator's busted.\What's that?\A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with.\This ship is huge. With this, we'll always know where the racer is. response:	There's nothing but pipes everywhere!
context: What is it?\The communicator's busted.\What's that?\A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with.\This ship is huge. With this, we'll always know where the racer is.\There's nothing but pipes everywhere! response:	I wonder, if it's because we're near the energy block?
context: The communicator's busted.\What's that?\A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with.\This ship is huge. With this, we'll always know where the racer is.\There's nothing but pipes everywhere!\I wonder, if it's because we're near the energy block? response:	Hot!
context: What's that?\A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with.\This ship is huge. With this, we'll always know where the racer is.\There's nothing but pipes everywhere!\I wonder, if it's because we're near the energy block?\Hot! response:	I'm fine. See? It was just a little hot, that's all.
context: A compass.\I thought a compass was shaped like this.\So, it's not the kind of compass you draw circles with.\This ship is huge. With this, we'll always know where the racer is.\There's nothing but pipes everywhere!\I wonder, if it's because we're near the energy block?\Hot!\I'm fine. See? It was just a little hot, that's all. response:	You'll get hurt if you're not careful.
