context: Once upon a time, there was a knight. response:	The knight never faltered in his duty, no matter what it was.
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was. response:	He did not even falter in taking the life of his lover.
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover. response:	That was what he took pride in.
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in. response:	But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out. response:	They say the knight, who became a ghost and now haunts this world,
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world, response:	holds in his hand the blood-stained sword that pierced his lover's breast.
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast. response:	What was that?
context: Once upon a time, there was a knight.\The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that? response:	The Wandering Knight
context: The knight never faltered in his duty, no matter what it was.\He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight response:	They say he appeared again!
context: He did not even falter in taking the life of his lover.\That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight\They say he appeared again! response:	The ghost knight!
context: That was what he took pride in.\But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight\They say he appeared again!\The ghost knight! response:	Ahiru?
context: But the knight could not do anything but carry out his duty, and even after his death, he still seeks a duty to carry out.\They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight\They say he appeared again!\The ghost knight!\Ahiru? response:	What's wrong? You're all spaced out.
context: They say the knight, who became a ghost and now haunts this world,\holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight\They say he appeared again!\The ghost knight!\Ahiru?\What's wrong? You're all spaced out. response:	Oh, no, nothing's wrong.
context: holds in his hand the blood-stained sword that pierced his lover's breast.\What was that?\The Wandering Knight\They say he appeared again!\The ghost knight!\Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong. response:	Oh! Come to think of it, today is...
context: What was that?\The Wandering Knight\They say he appeared again!\The ghost knight!\Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is... response:	Oh!
context: The Wandering Knight\They say he appeared again!\The ghost knight!\Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh! response:	The day Fakir-sama comes back to school!
context: They say he appeared again!\The ghost knight!\Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school! response:	I wonder how wretched he'll look when he comes!
context: The ghost knight!\Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes! response:	Oh, so that's today.
context: Ahiru?\What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today. response:	So you're completely a Fakir-sama girl now too, huh?
context: What's wrong? You're all spaced out.\Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh? response:	What?! No, I'm telling you, Fakir and I aren't like that!
context: Oh, no, nothing's wrong.\Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that! response:	But hey, if you're that serious about it, I have to support you, don't I?
context: Oh! Come to think of it, today is...\Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I? response:	Yeah, I'll support you with all I've got too!
context: Oh!\The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too! response:	No, you see...
context: The day Fakir-sama comes back to school!\I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see... response:	Okay, then! First comes the love confession!
context: I wonder how wretched he'll look when he comes!\Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession! response:	What's this?
context: Oh, so that's today.\So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession!\What's this? response:	They seem kinda freaky.
context: So you're completely a Fakir-sama girl now too, huh?\What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession!\What's this?\They seem kinda freaky. response:	Yeah, we shouldn't get involved with them.
context: What?! No, I'm telling you, Fakir and I aren't like that!\But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession!\What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them. response:	You be careful too, Ahiru.
context: But hey, if you're that serious about it, I have to support you, don't I?\Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession!\What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru. response:	Ahiru?!
context: Yeah, I'll support you with all I've got too!\No, you see...\Okay, then! First comes the love confession!\What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?! response:	You are a duck!
context: No, you see...\Okay, then! First comes the love confession!\What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?!\You are a duck! response:	What?!
context: Okay, then! First comes the love confession!\What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?!\You are a duck!\What?! response:	I am a shrimp, by the way.
context: What's this?\They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?!\You are a duck!\What?!\I am a shrimp, by the way. response:	We're expressing our own inner worlds in concrete form.
context: They seem kinda freaky.\Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?!\You are a duck!\What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form. response:	And your image is that of a duck.
context: Yeah, we shouldn't get involved with them.\You be careful too, Ahiru.\Ahiru?!\You are a duck!\What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck. response:	Right...
context: You be careful too, Ahiru.\Ahiru?!\You are a duck!\What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right... response:	So, what division are you a student in?
context: Ahiru?!\You are a duck!\What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right...\So, what division are you a student in? response:	The ballet division.
context: You are a duck!\What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right...\So, what division are you a student in?\The ballet division. response:	Oh, my!
context: What?!\I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right...\So, what division are you a student in?\The ballet division.\Oh, my! response:	Might she...
context: I am a shrimp, by the way.\We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right...\So, what division are you a student in?\The ballet division.\Oh, my!\Might she... response:	Why don't we ask her?
context: We're expressing our own inner worlds in concrete form.\And your image is that of a duck.\Right...\So, what division are you a student in?\The ballet division.\Oh, my!\Might she...\Why don't we ask her? response:	Okay, then. Do you know Mytho-sama?
context: And your image is that of a duck.\Right...\So, what division are you a student in?\The ballet division.\Oh, my!\Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama? response:	Yes...
context: Right...\So, what division are you a student in?\The ballet division.\Oh, my!\Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes... response:	You see, we're looking for a boy to dance ballet for us in our play.
context: So, what division are you a student in?\The ballet division.\Oh, my!\Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play. response:	I see...
context: The ballet division.\Oh, my!\Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see... response:	We'd really love to ask Mytho-sama to do it, but...
