context: I love this place. response:	I can walk on my own two feet here!
context: I love this place.\I can walk on my own two feet here! response:	I command you in the name of royal Versian blood!
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood! response:	Aldnoah, awaken!
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken! response:	Not only have you survived, you have assumed command of our world.
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world. response:	I am most impressed.
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed. response:	I am proud of you, Asseylum.
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum. response:	Thank you, Grandfather.
context: I love this place.\I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather. response:	You seem to have grown stronger.
context: I can walk on my own two feet here!\I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger. response:	I have been through much. People tend to change as they gain experience.
context: I command you in the name of royal Versian blood!\Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience. response:	From the red sands of our home, I pray for your success in battle.
context: Aldnoah, awaken!\Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle. response:	You never change at all,
context: Not only have you survived, you have assumed command of our world.\I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all, response:	Trident Base, this is Capt. Magbaredge of the Deucalion.
context: I am most impressed.\I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion. response:	Requesting docking clearance.
context: I am proud of you, Asseylum.\Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance. response:	Please berth at pier 12.
context: Thank you, Grandfather.\You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12. response:	Deucalion, acknowledged.
context: You seem to have grown stronger.\I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged. response:	Course, Trident Base docking bay, pier 12.
context: I have been through much. People tend to change as they gain experience.\From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12. response:	Begin deceleration.
context: From the red sands of our home, I pray for your success in battle.\You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration. response:	Beginning deceleration.
context: You never change at all,\Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration. response:	So that's the ship with the Martian tech...
context: Trident Base, this is Capt. Magbaredge of the Deucalion.\Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech... response:	I hear she's crewed by children who aren't even old enough for the reserves.
context: Requesting docking clearance.\Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves. response:	What's the world coming to?
context: Please berth at pier 12.\Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to? response:	Wow, look at them all!
context: Deucalion, acknowledged.\Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all! response:	They must have scrounged up every squad capable of making it here.
context: Course, Trident Base docking bay, pier 12.\Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here. response:	Because this is going to be a massive operation.
context: Begin deceleration.\Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation. response:	Deceleration complete in 5 seconds...
context: Beginning deceleration.\So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds... response:	Three, two, one.
context: So that's the ship with the Martian tech...\I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one. response:	Engines, all stop. We are now at a stop relative to pier 12.
context: I hear she's crewed by children who aren't even old enough for the reserves.\What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12. response:	Power down engines.
context: What's the world coming to?\Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines. response:	Once mooring is complete, begin inspections and resupplying.
context: Wow, look at them all!\They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying. response:	Ensign Kaizuka, are you in?
context: They must have scrounged up every squad capable of making it here.\Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in? response:	It's open.
