context: ' Good morning'' Good morning. response:	Hey how did you know we have a test at 1 o'clock today?
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today? response:	Really?
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really? response:	I see. That was a nice shot! That's great! What should I do?
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do? response:	I'
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do?\I' response:	I'
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do?\I'\I' response:	I really like you!
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do?\I'\I'\I really like you! response:	Good morning!
context: ' Good morning'' Good morning.\Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do?\I'\I'\I really like you!\Good morning! response:	'Sakura-chan?
context: Hey how did you know we have a test at 1 o'clock today?\Really?\I see. That was a nice shot! That's great! What should I do?\I'\I'\I really like you!\Good morning!\'Sakura-chan? response:	Sakura-chan!
context: Really?\I see. That was a nice shot! That's great! What should I do?\I'\I'\I really like you!\Good morning!\'Sakura-chan?\Sakura-chan! response:	Oh' Tomoyo-chan, good morning.
context: I see. That was a nice shot! That's great! What should I do?\I'\I'\I really like you!\Good morning!\'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning. response:	Oh! Good morning Li-kun!
context: I'\I'\I really like you!\Good morning!\'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun! response:	Good morning'
context: I'\I really like you!\Good morning!\'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning' response:	g' good morning'
context: I really like you!\Good morning!\'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning'\g' good morning' response:	Good morning'
context: Good morning!\'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning'\g' good morning'\Good morning' response:	Everyone have a seat!
context: 'Sakura-chan?\Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning'\g' good morning'\Good morning'\Everyone have a seat! response:	Okay.
context: Sakura-chan!\Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning'\g' good morning'\Good morning'\Everyone have a seat!\Okay. response:	I have some bad news for everyone.
context: Oh' Tomoyo-chan, good morning.\Oh! Good morning Li-kun!\Good morning'\g' good morning'\Good morning'\Everyone have a seat!\Okay.\I have some bad news for everyone. response:	Hiragizawa Eriol-kun is transfering to England.
context: Oh! Good morning Li-kun!\Good morning'\g' good morning'\Good morning'\Everyone have a seat!\Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England. response:	He will be leaving tomorrow, so he's not in class right now.
context: Good morning'\g' good morning'\Good morning'\Everyone have a seat!\Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now. response:	Sakura-chan'
context: g' good morning'\Good morning'\Everyone have a seat!\Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan' response:	I'm going,
context: Good morning'\Everyone have a seat!\Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going, response:	are you coming too?
context: Everyone have a seat!\Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going,\are you coming too? response:	Yeah.
context: Okay.\I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going,\are you coming too?\Yeah. response:	This is the house where he lives.
context: I have some bad news for everyone.\Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going,\are you coming too?\Yeah.\This is the house where he lives. response:	Someone is inviting you.
context: Hiragizawa Eriol-kun is transfering to England.\He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going,\are you coming too?\Yeah.\This is the house where he lives.\Someone is inviting you. response:	Watch yourself.
context: He will be leaving tomorrow, so he's not in class right now.\Sakura-chan'\I'm going,\are you coming too?\Yeah.\This is the house where he lives.\Someone is inviting you.\Watch yourself. response:	Sakura'
context: Sakura-chan'\I'm going,\are you coming too?\Yeah.\This is the house where he lives.\Someone is inviting you.\Watch yourself.\Sakura' response:	I feel Clow's aura.
context: I'm going,\are you coming too?\Yeah.\This is the house where he lives.\Someone is inviting you.\Watch yourself.\Sakura'\I feel Clow's aura. response:	Yes' I remember'
context: are you coming too?\Yeah.\This is the house where he lives.\Someone is inviting you.\Watch yourself.\Sakura'\I feel Clow's aura.\Yes' I remember' response:	Yue and I did live here with Clow.
context: Yeah.\This is the house where he lives.\Someone is inviting you.\Watch yourself.\Sakura'\I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow. response:	But you haven't remembered until now?
context: This is the house where he lives.\Someone is inviting you.\Watch yourself.\Sakura'\I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now? response:	He used magic to erase our memories.
context: Someone is inviting you.\Watch yourself.\Sakura'\I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories. response:	Then how did you just remember?
context: Watch yourself.\Sakura'\I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember? response:	I wonder why?
context: Sakura'\I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember?\I wonder why? response:	Come to think of it, Eriol said yesterday'It's finally over'
context: I feel Clow's aura.\Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over' response:	If anything odd should happen, Tomoyo, you'
