context: The scenery's pretty invigorating, isn't it? response:	Yunosagi's over there.
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there. response:	Looks like I'll be able to take some great pictures here.
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here. response:	Excuse me.
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me. response:	Hello, Isami speaking.
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking. response:	Oh, hey...
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking.\Oh, hey... response:	They've just opened up,
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking.\Oh, hey...\They've just opened up, response:	Yunosagi Cirrus
context: The scenery's pretty invigorating, isn't it?\Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking.\Oh, hey...\They've just opened up,\Yunosagi Cirrus response:	and they've already got so many customers, eh?
context: Yunosagi's over there.\Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking.\Oh, hey...\They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh? response:	Episode 16 That Sky, This Sky
context: Looks like I'll be able to take some great pictures here.\Excuse me.\Hello, Isami speaking.\Oh, hey...\They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky response:	Fukuya
context: Excuse me.\Hello, Isami speaking.\Oh, hey...\They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya response:	I've now heard everyone's opinions.
context: Hello, Isami speaking.\Oh, hey...\They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions. response:	Any other thoughts?
context: Oh, hey...\They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions.\Any other thoughts? response:	Well, I'd like to hear
context: They've just opened up,\Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear response:	what the younger generation expects
context: Yunosagi Cirrus\and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear\what the younger generation expects response:	from a hot spring inn.
context: and they've already got so many customers, eh?\Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear\what the younger generation expects\from a hot spring inn. response:	What?
context: Episode 16 That Sky, This Sky\Fukuya\I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear\what the younger generation expects\from a hot spring inn.\What? response:	Who was the one who said we only had to sit here and do nothing?
context: Fukuya\I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear\what the younger generation expects\from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing? response:	Give us your honest opinions please.
context: I've now heard everyone's opinions.\Any other thoughts?\Well, I'd like to hear\what the younger generation expects\from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please. response:	What do you think?
context: Any other thoughts?\Well, I'd like to hear\what the younger generation expects\from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think? response:	Let's see...
context: Well, I'd like to hear\what the younger generation expects\from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think?\Let's see... response:	I think it ought to be
context: what the younger generation expects\from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think?\Let's see...\I think it ought to be response:	full of food you want to eat yet be cheap as well.
context: from a hot spring inn.\What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think?\Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well. response:	Such as?
context: What?\Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think?\Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well.\Such as? response:	A cheap all-you-can-eat buffet that serves meat
context: Who was the one who said we only had to sit here and do nothing?\Give us your honest opinions please.\What do you think?\Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat response:	and cake from morning to evening!
context: Give us your honest opinions please.\What do you think?\Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening! response:	Oh, and maybe a luxurious coach,
context: What do you think?\Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach, response:	which is comfortable enough to sleep in, that drops you off at Yunosagi!
context: Let's see...\I think it ought to be\full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi! response:	O-oh, I think an indoor pool that uses water from the hot spring would be nice.
context: I think it ought to be\full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice. response:	Yup! A pool is an absolute necessity!
context: full of food you want to eat yet be cheap as well.\Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity! response:	There may be guests that want to swim at all hours.
context: Such as?\A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours. response:	Yup, I bet!
context: A cheap all-you-can-eat buffet that serves meat\and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet! response:	It would be awesome if the coaches served cake on board too!
context: and cake from morning to evening!\Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too! response:	Right, everything's prepared!
context: Oh, and maybe a luxurious coach,\which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared! response:	Then, let's present this
context: which is comfortable enough to sleep in, that drops you off at Yunosagi!\O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this response:	to Madam Manger, young master!
context: O-oh, I think an indoor pool that uses water from the hot spring would be nice.\Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this\to Madam Manger, young master! response:	Young master!
context: Yup! A pool is an absolute necessity!\There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this\to Madam Manger, young master!\Young master! response:	Y-Yes?
context: There may be guests that want to swim at all hours.\Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this\to Madam Manger, young master!\Young master!\Y-Yes? response:	How's the inn supposed to run
context: Yup, I bet!\It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this\to Madam Manger, young master!\Young master!\Y-Yes?\How's the inn supposed to run response:	when its own young master lacks self-confidence?
context: It would be awesome if the coaches served cake on board too!\Right, everything's prepared!\Then, let's present this\to Madam Manger, young master!\Young master!\Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence? response:	An important factor in giving a convincing presentation
context: Right, everything's prepared!\Then, let's present this\to Madam Manger, young master!\Young master!\Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation response:	is that the presenter themselves are motivated!
context: Then, let's present this\to Madam Manger, young master!\Young master!\Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated! response:	Don't worry.
context: to Madam Manger, young master!\Young master!\Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry. response:	I'm sure she'll understand how much we respect
context: Young master!\Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect response:	Kissuiso after she hears our plans.
context: Y-Yes?\How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans. response:	Now come on. Let's go!
context: How's the inn supposed to run\when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go! response:	Yeah, you're right.
context: when its own young master lacks self-confidence?\An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right. response:	But you know, this inn is really great!
context: An important factor in giving a convincing presentation\is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great! response:	Really, you think so?
context: is that the presenter themselves are motivated!\Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great!\Really, you think so? response:	Tomoe?
context: Don't worry.\I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great!\Really, you think so?\Tomoe? response:	Kissuiso will only need to invest
context: I'm sure she'll understand how much we respect\Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great!\Really, you think so?\Tomoe?\Kissuiso will only need to invest response:	a tenth of the production cost.
context: Kissuiso after she hears our plans.\Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great!\Really, you think so?\Tomoe?\Kissuiso will only need to invest\a tenth of the production cost. response:	Y-Yeah! It'll work like magic-
context: Now come on. Let's go!\Yeah, you're right.\But you know, this inn is really great!\Really, you think so?\Tomoe?\Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic- response:	The benefits gained from the advertising will be huge.
context: Yeah, you're right.\But you know, this inn is really great!\Really, you think so?\Tomoe?\Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge. response:	The masses of people who watch the movie
context: But you know, this inn is really great!\Really, you think so?\Tomoe?\Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie response:	will all want to stay at this inn at least once,
context: Really, you think so?\Tomoe?\Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once, response:	and as a consequence, they'll all visit Yunosagi.
context: Tomoe?\Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi. response:	Of course, none of this is guaranteed.
context: Kissuiso will only need to invest\a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed. response:	But from my experience, I-
context: a tenth of the production cost.\Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I- response:	Please allow me to speak with the young master in private.
context: Y-Yeah! It'll work like magic-\The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private. response:	What?
context: The benefits gained from the advertising will be huge.\The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private.\What? response:	Mind if I join the conversation?
context: The masses of people who watch the movie\will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private.\What?\Mind if I join the conversation? response:	Yeah, I'd like Takako to join our conversation.
context: will all want to stay at this inn at least once,\and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private.\What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation. response:	Is that okay?
context: and as a consequence, they'll all visit Yunosagi.\Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private.\What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay? response:	Fine, I get it.
context: Of course, none of this is guaranteed.\But from my experience, I-\Please allow me to speak with the young master in private.\What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it. response:	I'll leave you to have this conversation in private.
context: But from my experience, I-\Please allow me to speak with the young master in private.\What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private. response:	What? Uhh...
context: Please allow me to speak with the young master in private.\What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh... response:	What have you got planned, Nakochi?
context: What?\Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi? response:	I'm going to the beach with my brothers.
context: Mind if I join the conversation?\Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers. response:	What about you, Ohana?
context: Yeah, I'd like Takako to join our conversation.\Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana? response:	I'll be working here the whole summer.
context: Is that okay?\Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer. response:	Oh! Then let's go to the beach together!
context: Fine, I get it.\I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together! response:	The beach is great!
context: I'll leave you to have this conversation in private.\What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great! response:	Yeah, I'd love to meet your brothers!
context: What? Uhh...\What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers! response:	Oh, goodness! You've got to hear this!
context: What have you got planned, Nakochi?\I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this! response:	It's a movie! A movie!
context: I'm going to the beach with my brothers.\What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie! response:	Yeah?
context: What about you, Ohana?\I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah? response:	Don't you get it?
context: I'll be working here the whole summer.\Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah?\Don't you get it? response:	They're filming a movie at Kissuiso!
context: Oh! Then let's go to the beach together!\The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah?\Don't you get it?\They're filming a movie at Kissuiso! response:	Really?
context: The beach is great!\Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah?\Don't you get it?\They're filming a movie at Kissuiso!\Really? response:	Oh, gosh, what should I do?
context: Yeah, I'd love to meet your brothers!\Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah?\Don't you get it?\They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do? response:	I need to go home and tell my family!
context: Oh, goodness! You've got to hear this!\It's a movie! A movie!\Yeah?\Don't you get it?\They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do?\I need to go home and tell my family! response:	I wonder what part I'm going to be playing.
context: It's a movie! A movie!\Yeah?\Don't you get it?\They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing. response:	A movie?
context: Yeah?\Don't you get it?\They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie? response:	Yeah. At Kissuiso.
context: Don't you get it?\They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso. response:	Wow!
context: They're filming a movie at Kissuiso!\Really?\Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso.\Wow! response:	So...
context: Really?\Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso.\Wow!\So... response:	You understand, right?
context: Oh, gosh, what should I do?\I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso.\Wow!\So...\You understand, right? response:	It's not just our problem.
context: I need to go home and tell my family!\I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso.\Wow!\So...\You understand, right?\It's not just our problem. response:	At this rate, the whole of Yunosagi
context: I wonder what part I'm going to be playing.\A movie?\Yeah. At Kissuiso.\Wow!\So...\You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi response:	will gradually become poorer and poorer.
context: A movie?\Yeah. At Kissuiso.\Wow!\So...\You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer. response:	I was shocked when
context: Yeah. At Kissuiso.\Wow!\So...\You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when response:	Takako asked whether we wanted to be filmed or not, but-
context: Wow!\So...\You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but- response:	I have no objections.
context: So...\You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections. response:	What?
context: You understand, right?\It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What? response:	I'll allow you free reign to do what you want this time.
context: It's not just our problem.\At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What?\I'll allow you free reign to do what you want this time. response:	What?
context: At this rate, the whole of Yunosagi\will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What?\I'll allow you free reign to do what you want this time.\What? response:	Anyway, due to a strongly-worded request from the director,
context: will gradually become poorer and poorer.\I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What?\I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director, response:	we're thinking about offering you roles in the film,
