context: Everyone, thank you for giving me courage. response:	Evil beings, in the name of the moon,
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon, response:	Princess Serenity will seal you away!
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: Everyone, thank you for giving me courage.\Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Evil beings, in the name of the moon,\Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: Princess Serenity will seal you away!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	So, this is the Dark Kingdom's stronghold.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold. response:	Ami, Rei, Mako, Minako...
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako... response:	I'll do my best to the very end!
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end! response:	Usagi's Everlasting Wish! A New Reincarnation
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation response:	So, little girl, you have come. I will show you what Hell is.
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is. response:	I praise you for a job well done.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done. response:	Queen Beryl.
context: Shinjite iru no miracle romance\So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl. response:	Yes, I am Queen Beryl.
context: So, this is the Dark Kingdom's stronghold.\Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl. response:	Endymion, kill the princess!
context: Ami, Rei, Mako, Minako...\I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess! response:	As you wish.
context: I'll do my best to the very end!\Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish. response:	Moon Healing Escalation!
context: Usagi's Everlasting Wish! A New Reincarnation\So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish.\Moon Healing Escalation! response:	You are wasting your time.
context: So, little girl, you have come. I will show you what Hell is.\I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish.\Moon Healing Escalation!\You are wasting your time. response:	You are still not a full-fledged princess.
context: I praise you for a job well done.\Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish.\Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess. response:	Even if you use the Silver Crystal,
context: Queen Beryl.\Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish.\Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal, response:	you will not be able to remove Queen Metalia's
context: Yes, I am Queen Beryl.\Endymion, kill the princess!\As you wish.\Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's response:	dark energy from Endymion's body.
context: Endymion, kill the princess!\As you wish.\Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body. response:	Stop wasting your time and quietly hand me the Silver Crystal.
context: As you wish.\Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal. response:	Sailor Moon.
context: Moon Healing Escalation!\You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon. response:	Die.
context: You are wasting your time.\You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die. response:	Mamoru...
context: You are still not a full-fledged princess.\Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die.\Mamoru... response:	Dumpling Head.
context: Even if you use the Silver Crystal,\you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die.\Mamoru...\Dumpling Head. response:	Mamoru...
context: you will not be able to remove Queen Metalia's\dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die.\Mamoru...\Dumpling Head.\Mamoru... response:	Soon, the sun will be covered entirely by sunspots
context: dark energy from Endymion's body.\Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die.\Mamoru...\Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots response:	and Queen Metalia will be revived.
