context: Second Plate response:	Episode 5
context: Second Plate\Episode 5 response:	I'll quit being a chef.
context: Second Plate\Episode 5\I'll quit being a chef. response:	If I lose against you in the Shokugeki,
context: Second Plate\Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki, response:	I promise that I'll never represent Yukihira Diner again,
context: Second Plate\Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again, response:	Yukihira Diner
context: Second Plate\Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner response:	that I'll never again set foot in a professional kitchen.
context: Second Plate\Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen. response:	Would that be enough for you to agree to put your hundred kitchen tools on the line?
context: Second Plate\Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line? response:	Let me simplify this one step further for you.
context: Episode 5\I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you. response:	The second match's topic is a Western main dish, right?
context: I'll quit being a chef.\If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right? response:	I'll make this.
context: If I lose against you in the Shokugeki,\I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this. response:	Huh?
context: I promise that I'll never represent Yukihira Diner again,\Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this.\Huh? response:	Beef ste
context: Yukihira Diner\that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this.\Huh?\Beef ste response:	You idiot!
context: that I'll never again set foot in a professional kitchen.\Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this.\Huh?\Beef ste\You idiot! response:	Quit running your mouth!
context: Would that be enough for you to agree to put your hundred kitchen tools on the line?\Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this.\Huh?\Beef ste\You idiot!\Quit running your mouth! response:	Don't tell him what you're going to make!
context: Let me simplify this one step further for you.\The second match's topic is a Western main dish, right?\I'll make this.\Huh?\Beef ste\You idiot!\Quit running your mouth!\Don't tell him what you're going to make! response:	He'll predict it, anyway.
