context: Huh? Wait, what? response:	Sorry, are you okay?!
context: Huh? Wait, what?\Sorry, are you okay?! response:	Horimiya
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya response:	Student Council Room
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya\Student Council Room response:	Student Council Room Everybody Loves Somebody
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody response:	Student Council Room Everybody Loves Somebody
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody response:	Two, four, six, eight...
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight... response:	Everybody Loves Somebody
context: Huh? Wait, what?\Sorry, are you okay?!\Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody response:	Two, four, six, eight...
context: Sorry, are you okay?!\Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight... response:	Two, four, six, eight...
context: Horimiya\Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight... response:	Thanks for picking these up for me.
context: Student Council Room\Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me. response:	Must be tough handling everything by yourself.
context: Student Council Room Everybody Loves Somebody\Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself. response:	I don't do it all.
context: Student Council Room Everybody Loves Somebody\Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all. response:	Remi and Sengoku-kun handle the things they're able to handle.
context: Two, four, six, eight...\Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle. response:	Remi always opens this window for us, so we get this nice breeze.
context: Everybody Loves Somebody\Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze. response:	It's kind of cool how you work this hard, even when nobody's looking.
context: Two, four, six, eight...\Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking. response:	Wait, are you talking about me?
context: Two, four, six, eight...\Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me? response:	Yeah.
context: Thanks for picking these up for me.\Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah. response:	You good with those papers?
context: Must be tough handling everything by yourself.\I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah.\You good with those papers? response:	Huh? Yeah, I'll be fine.
context: I don't do it all.\Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah.\You good with those papers?\Huh? Yeah, I'll be fine. response:	Thanks for the help, Ishikawa-kun.
context: Remi and Sengoku-kun handle the things they're able to handle.\Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah.\You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun. response:	Here.
context: Remi always opens this window for us, so we get this nice breeze.\It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah.\You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here. response:	This for me?
context: It's kind of cool how you work this hard, even when nobody's looking.\Wait, are you talking about me?\Yeah.\You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here.\This for me? response:	We were supposed to head home together, but you didn't show.
context: Wait, are you talking about me?\Yeah.\You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here.\This for me?\We were supposed to head home together, but you didn't show. response:	So Hori-san...
context: Yeah.\You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here.\This for me?\We were supposed to head home together, but you didn't show.\So Hori-san... response:	Ugh, you must be dying of heat!
context: You good with those papers?\Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here.\This for me?\We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat! response:	Promise me you'll take your jacket off when you walk home!
context: Huh? Yeah, I'll be fine.\Thanks for the help, Ishikawa-kun.\Here.\This for me?\We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home! response:	Here, I got some frozen treats.
context: Thanks for the help, Ishikawa-kun.\Here.\This for me?\We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats. response:	Have one with Toru when he gets here.
context: Here.\This for me?\We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here. response:	I see, they're from Hori.
context: This for me?\We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori. response:	Juicy Melon
