context: /** TS by scol **/ response:	/** name move **/
context: /** TS by scol **/\/** name move **/ response:	Sorry... I...
context: /** TS by scol **/\/** name move **/\Sorry... I... response:	thought uncle committed suicide.
context: /** TS by scol **/\/** name move **/\Sorry... I...\thought uncle committed suicide. response:	He wasn't such a coward.
context: /** TS by scol **/\/** name move **/\Sorry... I...\thought uncle committed suicide.\He wasn't such a coward. response:	He was a man that the more difficult things got, the more he'd bare with it and work hard.
context: /** TS by scol **/\/** name move **/\Sorry... I...\thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard. response:	And he never once complained about it.
context: /** TS by scol **/\/** name move **/\Sorry... I...\thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it. response:	Yeah, you're right.
context: /** TS by scol **/\/** name move **/\Sorry... I...\thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right. response:	He even gave up sleep,
context: /** name move **/\Sorry... I...\thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right.\He even gave up sleep, response:	and just focused on drawing something.
context: Sorry... I...\thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right.\He even gave up sleep,\and just focused on drawing something. response:	Moritaka, have you read Kyojin no Hoshi?
context: thought uncle committed suicide.\He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right.\He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi? response:	Eh, yes.
context: He wasn't such a coward.\He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right.\He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes. response:	Then you know Sakamoto Ryouma's line, right?
context: He was a man that the more difficult things got, the more he'd bare with it and work hard.\And he never once complained about it.\Yeah, you're right.\He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right? response:	Yes.
context: And he never once complained about it.\Yeah, you're right.\He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right?\Yes. response:	You really liked Ashita no Joe, right?
context: Yeah, you're right.\He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right?\Yes.\You really liked Ashita no Joe, right? response:	Yes.
context: He even gave up sleep,\and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right?\Yes.\You really liked Ashita no Joe, right?\Yes. response:	Dad, you don't need to say any more.
context: and just focused on drawing something.\Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right?\Yes.\You really liked Ashita no Joe, right?\Yes.\Dad, you don't need to say any more. response:	Thank you.
context: Moritaka, have you read Kyojin no Hoshi?\Eh, yes.\Then you know Sakamoto Ryouma's line, right?\Yes.\You really liked Ashita no Joe, right?\Yes.\Dad, you don't need to say any more.\Thank you. response:	Yeah.
