context: Possession of the Sacred Jewel bestows tremendous power... response:	upon demons and others with evil in their hearts.
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts. response:	My sister Kikyo had died trying to seal its powers.
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers. response:	However, she was reincarnated as a young woman named Kagome...
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome... response:	and returned to this world.
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world. response:	And now, the journey begins for...
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for... response:	Inuyasha, a half-demon with a human mother...
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother... response:	and this young woman from the modern age.
context: Possession of the Sacred Jewel bestows tremendous power...\upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age. response:	All right... Now!
context: upon demons and others with evil in their hearts.\My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now! response:	Hold it, Kagome!
context: My sister Kikyo had died trying to seal its powers.\However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now!\Hold it, Kagome! response:	Huh?!
context: However, she was reincarnated as a young woman named Kagome...\and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now!\Hold it, Kagome!\Huh?! response:	Are you trying to escape?! What about the Sacred Jewel?!
context: and returned to this world.\And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now!\Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?! response:	Move!
context: And now, the journey begins for...\Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now!\Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move! response:	I have a test tomorrow!
context: Inuyasha, a half-demon with a human mother...\and this young woman from the modern age.\All right... Now!\Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow! response:	I'm in the 9th grade!
context: and this young woman from the modern age.\All right... Now!\Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow!\I'm in the 9th grade! response:	I've been missing all my cram classes for high school, too!
