context: Work Log response:	Is that so, Denroku?
context: Work Log\Is that so, Denroku? response:	Yes.
context: Work Log\Is that so, Denroku?\Yes. response:	I see...
context: Work Log\Is that so, Denroku?\Yes.\I see... response:	Episode 21 Rebirth of Die
context: Work Log\Is that so, Denroku?\Yes.\I see...\Episode 21 Rebirth of Die response:	What?! You're getting married?!
context: Work Log\Is that so, Denroku?\Yes.\I see...\Episode 21 Rebirth of Die\What?! You're getting married?! response:	That's right. One can only become a man through marriage.
context: Work Log\Is that so, Denroku?\Yes.\I see...\Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage. response:	But do you have to do it right now?!
context: Work Log\Is that so, Denroku?\Yes.\I see...\Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?! response:	Speaking from a financial viewpoint,
context: Is that so, Denroku?\Yes.\I see...\Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint, response:	it's definitely a bad idea.
context: Yes.\I see...\Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea. response:	However, we have love!
context: I see...\Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love! response:	Love saves the world!
context: Episode 21 Rebirth of Die\What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love!\Love saves the world! response:	We don't need a wedding ceremony!
context: What?! You're getting married?!\That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love!\Love saves the world!\We don't need a wedding ceremony! response:	We're going to combine our efforts
context: That's right. One can only become a man through marriage.\But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love!\Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts response:	and help Madam Manager!
context: But do you have to do it right now?!\Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love!\Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager! response:	Isn't that right, Takako?
context: Speaking from a financial viewpoint,\it's definitely a bad idea.\However, we have love!\Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako? response:	Exactly so, Enishing.
context: it's definitely a bad idea.\However, we have love!\Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing. response:	Enishing?
context: However, we have love!\Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing.\Enishing? response:	Enishing means anything.
context: Love saves the world!\We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing.\Enishing?\Enishing means anything. response:	We have no secrets from each other!
context: We don't need a wedding ceremony!\We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing.\Enishing?\Enishing means anything.\We have no secrets from each other! response:	We say anything to each other!
context: We're going to combine our efforts\and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing.\Enishing?\Enishing means anything.\We have no secrets from each other!\We say anything to each other! response:	But, hey, I'm happy for you.
