context: Trapnest means a nest box with a trap. response:	Once you enter, you cannot get out on your own.
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own. response:	I figured it was a name a possessive man would think of.
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of. response:	Blinking eyes call the wind
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind response:	A smile clears all the noise away
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: Trapnest means a nest box with a trap.\Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: Once you enter, you cannot get out on your own.\I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: I figured it was a name a possessive man would think of.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST. response:	Mr. Honjo.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo. response:	Mr. Honjo.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo. response:	Excuse me.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo.\Excuse me. response:	We've arrived at your place.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo.\Excuse me.\We've arrived at your place. response:	How do you open the garage door?
context: This sky is torn\By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo.\Excuse me.\We've arrived at your place.\How do you open the garage door? response:	Oh, well, you insert the key there...
context: By a single overflowing word\NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo.\Excuse me.\We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there... response:	Key?
