context: He's sort of transferring, though he was sort of on academic break... response:	Anyway, this is Sakishima Hikari-kun,
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun, response:	Sakishima
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima response:	who'll be joining our class.
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class. response:	I'm Sakishima, who's repeating this class.
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class. response:	Please call me Senpai and respect me.
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me. response:	Well, that's how he is,
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is, response:	so you guys don't need to hold back too much.
context: He's sort of transferring, though he was sort of on academic break...\Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much. response:	If you don't pay me respect, I'll be seeing you behind the gym.
context: Anyway, this is Sakishima Hikari-kun,\Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym. response:	Episode Sixteen: The Whispers of the Faraway Waves
context: Sakishima\who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves response:	Senpai, show us your Ena.
context: who'll be joining our class.\I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena. response:	I want to see your Ena, too!
context: I'm Sakishima, who's repeating this class.\Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too! response:	I remember the Ofunehiki.
context: Please call me Senpai and respect me.\Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki. response:	Happi coats were totally in after that.
context: Well, that's how he is,\so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that. response:	Happi coats were in? What the heck?
context: so you guys don't need to hold back too much.\If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck? response:	Tsumugu-senpai was so cool.
context: If you don't pay me respect, I'll be seeing you behind the gym.\Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool. response:	This is so weird.
context: Episode Sixteen: The Whispers of the Faraway Waves\Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird. response:	Huh?
context: Senpai, show us your Ena.\I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird.\Huh? response:	Having the octopus in the same class we're in.
context: I want to see your Ena, too!\I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird.\Huh?\Having the octopus in the same class we're in. response:	I haven't heard octopus in a long time.
context: I remember the Ofunehiki.\Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird.\Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time. response:	What?
context: Happi coats were totally in after that.\Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird.\Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What? response:	Well, the octopus is an octopus.
context: Happi coats were in? What the heck?\Tsumugu-senpai was so cool.\This is so weird.\Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus. response:	He hasn't changed at all.
context: Tsumugu-senpai was so cool.\This is so weird.\Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus.\He hasn't changed at all. response:	Sorry, do you mind if I sit down for a bit?
context: This is so weird.\Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit? response:	I'm old, so I get tired easily.
context: Huh?\Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily. response:	That octopus-head isn't well yet,
context: Having the octopus in the same class we're in.\I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet, response:	so don't tease him too much.
context: I haven't heard octopus in a long time.\What?\Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much. response:	Whoa, I haven't heard octopus-head in a long time.
context: What?\Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time. response:	You both just said the same thing.
context: Well, the octopus is an octopus.\He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing. response:	By the way, does that make you Shiodome's uncle, Senpai?
context: He hasn't changed at all.\Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai? response:	Meaning Miuna's your niece?
context: Sorry, do you mind if I sit down for a bit?\I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece? response:	Yeah, but just don't call me uncle.
context: I'm old, so I get tired easily.\That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle. response:	Hikari was how he always was.
context: That octopus-head isn't well yet,\so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was. response:	Hikari was acting just as usual self.
context: so don't tease him too much.\Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self. response:	So I thought I would act like I was my usual self, too.
context: Whoa, I haven't heard octopus-head in a long time.\You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too. response:	Sensei's voice is all hoarse now.
context: You both just said the same thing.\By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now. response:	Totally hoarse.
