context: Huh? response:	Something's shining!
context: Huh?\Something's shining! response:	Natsu-nii...
context: Huh?\Something's shining!\Natsu-nii... response:	This is delish!
context: Huh?\Something's shining!\Natsu-nii...\This is delish! response:	Michelle made all of this!
context: Huh?\Something's shining!\Natsu-nii...\This is delish!\Michelle made all of this! response:	Eat up!
context: Huh?\Something's shining!\Natsu-nii...\This is delish!\Michelle made all of this!\Eat up! response:	Come on over, Romeo!
context: Huh?\Something's shining!\Natsu-nii...\This is delish!\Michelle made all of this!\Eat up!\Come on over, Romeo! response:	Um...
context: Huh?\Something's shining!\Natsu-nii...\This is delish!\Michelle made all of this!\Eat up!\Come on over, Romeo!\Um... response:	What is this?
context: Something's shining!\Natsu-nii...\This is delish!\Michelle made all of this!\Eat up!\Come on over, Romeo!\Um...\What is this? response:	From the looks of it, I'd say...
context: Natsu-nii...\This is delish!\Michelle made all of this!\Eat up!\Come on over, Romeo!\Um...\What is this?\From the looks of it, I'd say... response:	It's some kind of entrance, isn't it?
context: This is delish!\Michelle made all of this!\Eat up!\Come on over, Romeo!\Um...\What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it? response:	But how did this get here?
context: Michelle made all of this!\Eat up!\Come on over, Romeo!\Um...\What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here? response:	Everyone, back off!
context: Eat up!\Come on over, Romeo!\Um...\What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off! response:	Wait!
context: Come on over, Romeo!\Um...\What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off!\Wait! response:	Cut it out!
context: Um...\What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off!\Wait!\Cut it out! response:	It looks like magic doesn't work on it...
context: What is this?\From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off!\Wait!\Cut it out!\It looks like magic doesn't work on it... response:	In the first place, we'll get nothing out of it if you break it! Jeez!
context: From the looks of it, I'd say...\It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off!\Wait!\Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez! response:	I wonder if there's a way to turn it on...
context: It's some kind of entrance, isn't it?\But how did this get here?\Everyone, back off!\Wait!\Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on... response:	Hey, is this...
context: But how did this get here?\Everyone, back off!\Wait!\Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this... response:	A keyhole?!
context: Everyone, back off!\Wait!\Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?! response:	Yeah, right?
context: Wait!\Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?!\Yeah, right? response:	But we don't have a key...
context: Cut it out!\It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?!\Yeah, right?\But we don't have a key... response:	If that's the problem, then leave it to me!
context: It looks like magic doesn't work on it...\In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?!\Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me! response:	Ebi...
context: In the first place, we'll get nothing out of it if you break it! Jeez!\I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?!\Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me!\Ebi... response:	So would you open this lock?
context: I wonder if there's a way to turn it on...\Hey, is this...\A keyhole?!\Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me!\Ebi...\So would you open this lock? response:	With scissors, the life of any hair and makeup artist-ebi?
context: Hey, is this...\A keyhole?!\Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me!\Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi? response:	It's my fault... It's all my fault...
context: A keyhole?!\Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me!\Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault... response:	Don't cry!
context: Yeah, right?\But we don't have a key...\If that's the problem, then leave it to me!\Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry! response:	Okay-ebi!
context: But we don't have a key...\If that's the problem, then leave it to me!\Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry!\Okay-ebi! response:	That was easy...
context: If that's the problem, then leave it to me!\Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry!\Okay-ebi!\That was easy... response:	Men!
context: Ebi...\So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry!\Okay-ebi!\That was easy...\Men! response:	I knew he could do it!
context: So would you open this lock?\With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry!\Okay-ebi!\That was easy...\Men!\I knew he could do it! response:	Wonderful!
context: With scissors, the life of any hair and makeup artist-ebi?\It's my fault... It's all my fault...\Don't cry!\Okay-ebi!\That was easy...\Men!\I knew he could do it!\Wonderful! response:	It was a cinch-ebi!
context: It's my fault... It's all my fault...\Don't cry!\Okay-ebi!\That was easy...\Men!\I knew he could do it!\Wonderful!\It was a cinch-ebi! response:	I-I have a bad feeling about this...
context: Don't cry!\Okay-ebi!\That was easy...\Men!\I knew he could do it!\Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this... response:	Labyrinth Rhapsody!
context: Okay-ebi!\That was easy...\Men!\I knew he could do it!\Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody! response:	Gray-sama, this way...
context: That was easy...\Men!\I knew he could do it!\Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way... response:	Oh, the entrance, huh?
context: Men!\I knew he could do it!\Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh? response:	So this is it?
