context: That was your last supplementary class. Great work. response:	Thank you very much.
context: That was your last supplementary class. Great work.\Thank you very much. response:	Yes! Now I can
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can response:	Not yours, hers.
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can\Not yours, hers. response:	This is your note.
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can\Not yours, hers.\This is your note. response:	And, go.
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can\Not yours, hers.\This is your note.\And, go. response:	You sound great together.
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can\Not yours, hers.\This is your note.\And, go.\You sound great together. response:	Episode 7 Spinning in Circles and Losing Sight
context: That was your last supplementary class. Great work.\Thank you very much.\Yes! Now I can\Not yours, hers.\This is your note.\And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight response:	Choir and Sometimes Badminton Club Meeting
context: Thank you very much.\Yes! Now I can\Not yours, hers.\This is your note.\And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting response:	Today's Agenda: White Festival Discussion
context: Yes! Now I can\Not yours, hers.\This is your note.\And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion response:	Let's begin by having our now official member,
context: Not yours, hers.\This is your note.\And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member, response:	Sakai Wakana, introduce herself.
context: This is your note.\And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself. response:	You should've warned me!
context: And, go.\You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me! response:	Sakai-san, please stand.
context: You sound great together.\Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand. response:	Go on.
context: Episode 7 Spinning in Circles and Losing Sight\Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand.\Go on. response:	Do I have to?
context: Choir and Sometimes Badminton Club Meeting\Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand.\Go on.\Do I have to? response:	Hurry up.
context: Today's Agenda: White Festival Discussion\Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand.\Go on.\Do I have to?\Hurry up. response:	You can do it!
context: Let's begin by having our now official member,\Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand.\Go on.\Do I have to?\Hurry up.\You can do it! response:	Jeez... What should I say?
