context: Say, Nana Komatsu. response:	We used to spend so much time together,
context: Say, Nana Komatsu.\We used to spend so much time together, response:	but I didn't understand you one bit.
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit. response:	Well, you see... to understand you is usually impossible!
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible! response:	So give me a break, will you?
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you? response:	Blinking eyes call the wind
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind response:	A smile clears all the noise away
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: Say, Nana Komatsu.\We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: We used to spend so much time together,\but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: but I didn't understand you one bit.\Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: Well, you see... to understand you is usually impossible!\So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: So give me a break, will you?\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	Long time no see. I wonder what customers we'll have today.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today. response:	Wow! I've wanted to come here for so long! Junko's room!
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room! response:	Um, who are you?
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you? response:	Why is a guy with a bigger role here?!
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?! response:	Could it possibly be, you're here because...
