context: Come in. response:	I feel bad for the people at Globe.
context: Come in.\I feel bad for the people at Globe. response:	They don't know that you're the one
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one response:	choosing all the participants in the Kivotos Plan.
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan. response:	Indeed.
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed. response:	I feel bad for CEO Kube.
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube. response:	I'm sure he never even dreamed that we were using him...
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him... response:	Albion may have an attachment to his avatar body.
context: Come in.\I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body. response:	I don't mind mine.
context: I feel bad for the people at Globe.\They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine. response:	This is a ten-year-old photograph of a Seton Company research facility
context: They don't know that you're the one\choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility response:	in the Hawaiian Islands.
context: choosing all the participants in the Kivotos Plan.\Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands. response:	It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.
context: Indeed.\I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary. response:	These two.
context: I feel bad for CEO Kube.\I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two. response:	We believe they are the two that attacked yesterday.
context: I'm sure he never even dreamed that we were using him...\Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday. response:	Then it was indeed Macbeth Enterprises.
context: Albion may have an attachment to his avatar body.\I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises. response:	These two are designer children, right?
context: I don't mind mine.\This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right? response:	And they were overseas during the Kanda incident.
context: This is a ten-year-old photograph of a Seton Company research facility\in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident. response:	Then all six that were taken in, except Teppei Arashi, are missing.
context: in the Hawaiian Islands.\It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing. response:	Just like Teppei, the other designer children
context: It was cleverly hidden, but they're a Macbeth Enterprises subsidiary.\These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children response:	can use the Machine Goodfellows to become Kiltgangs.
context: These two.\We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs. response:	I think the fact that the Kiltgangs have entered their active phase
context: We believe they are the two that attacked yesterday.\Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase response:	suggests that their preparations are complete.
context: Then it was indeed Macbeth Enterprises.\These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete. response:	Why don't they attack more frequently?
context: These two are designer children, right?\And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently? response:	When Teppei became a Kiltgang,
context: And they were overseas during the Kanda incident.\Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang, response:	Hana used the energy built up in the Blume.
