context: Wow. response:	It looks delicious.
context: Wow.\It looks delicious. response:	Oh, Miuna-chan.
context: Wow.\It looks delicious.\Oh, Miuna-chan. response:	Oh, I-I'm going to take a bath now.
context: Wow.\It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now. response:	It's no use...
context: Wow.\It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use... response:	Huh?
context: Wow.\It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use...\Huh? response:	Episode Twenty-Two: Something Lost
context: Wow.\It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use...\Huh?\Episode Twenty-Two: Something Lost response:	Uroko-sama!
context: Wow.\It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use...\Huh?\Episode Twenty-Two: Something Lost\Uroko-sama! response:	Uroko-sama, where are you?
context: It looks delicious.\Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use...\Huh?\Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you? response:	Is Uroko-sama really on the surface?
context: Oh, Miuna-chan.\Oh, I-I'm going to take a bath now.\It's no use...\Huh?\Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface? response:	Tsumugu hasn't been in the sea,
context: Oh, I-I'm going to take a bath now.\It's no use...\Huh?\Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea, response:	and yet he got cursed and the fish appeared.
context: It's no use...\Huh?\Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared. response:	That means he should be somewhere in Oshiooshi.
context: Huh?\Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi. response:	But where?
context: Episode Twenty-Two: Something Lost\Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where? response:	I don't know.
context: Uroko-sama!\Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where?\I don't know. response:	Uroko-sama!
context: Uroko-sama, where are you?\Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where?\I don't know.\Uroko-sama! response:	Hey!
context: Is Uroko-sama really on the surface?\Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where?\I don't know.\Uroko-sama!\Hey! response:	Come on... it's not like he's a dog or a cat...
context: Tsumugu hasn't been in the sea,\and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where?\I don't know.\Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat... response:	Ugh, so gross!
context: and yet he got cursed and the fish appeared.\That means he should be somewhere in Oshiooshi.\But where?\I don't know.\Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross! response:	You don't have to look at it.
context: That means he should be somewhere in Oshiooshi.\But where?\I don't know.\Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it. response:	Will this really work?
context: But where?\I don't know.\Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it.\Will this really work? response:	Sayu?
context: I don't know.\Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it.\Will this really work?\Sayu? response:	Manaka-san?
context: Uroko-sama!\Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it.\Will this really work?\Sayu?\Manaka-san? response:	Can we really catch him with this?
