context: A Ki! There's another unknown Ki coming this way from over there! response:	Hide! Gohan! Bulma- san!
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san! response:	W- what, now?
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now? response:	Come on, hurry!
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry! response:	What in the world is it?
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry!\What in the world is it? response:	I'm always impressed by how you guys know these things.
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things. response:	Shh! Keep quiet. It's coming this way.
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way. response:	Could we have been discovered?
context: A Ki! There's another unknown Ki coming this way from over there!\Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered? response:	I don't know.
context: Hide! Gohan! Bulma- san!\W- what, now?\Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know. response:	They're here!
context: W- what, now?\Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know.\They're here! response:	T- they're gone.
context: Come on, hurry!\What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know.\They're here!\T- they're gone. response:	Thank goodness. It looks like those people weren't coming after us, huh?
context: What in the world is it?\I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know.\They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh? response:	B- but, what exactly was that about just now?
context: I'm always impressed by how you guys know these things.\Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know.\They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now? response:	What's the matter with you guys?
context: Shh! Keep quiet. It's coming this way.\Could we have been discovered?\I don't know.\They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys? response:	B- Bulma- san, could you check something with the Dragon Radar?
context: Could we have been discovered?\I don't know.\They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar? response:	W- what?
context: I don't know.\They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what? response:	W- when you examined it before, there were four Dragon Balls together, right?
context: They're here!\T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right? response:	What are they doing now?
context: T- they're gone.\Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now? response:	All right, I'll check.
context: Thank goodness. It looks like those people weren't coming after us, huh?\B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check. response:	All four of them are moving. Which means...
context: B- but, what exactly was that about just now?\What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check.\All four of them are moving. Which means... response:	R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.
context: What's the matter with you guys?\B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them. response:	I- I knew it.
context: B- Bulma- san, could you check something with the Dragon Radar?\W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it. response:	You don't say.
context: W- what?\W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say. response:	Gohan!
context: W- when you examined it before, there were four Dragon Balls together, right?\What are they doing now?\All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say.\Gohan! response:	Gohan!
context: What are they doing now?\All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say.\Gohan!\Gohan! response:	Yes?
context: All right, I'll check.\All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say.\Gohan!\Gohan!\Yes? response:	Gohan, did you see him? The weird one, flying second from the front?
context: All four of them are moving. Which means...\R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say.\Gohan!\Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front? response:	Yes. I sensed an incredible power from him.
context: R- right, no doubt about it. Those guys just now had the four Dragon Balls with them.\I- I knew it.\You don't say.\Gohan!\Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him. response:	The moment I saw him, I froze.
context: I- I knew it.\You don't say.\Gohan!\Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze. response:	That guy might be even more ridiculously powerful than Vegeta.
context: You don't say.\Gohan!\Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta. response:	I- it looked like there were some other amazing guys in there,
context: Gohan!\Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there, response:	but that guy was in a whole different league.
context: Gohan!\Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league. response:	Stronger than Vegeta? It couldn't be! Just who is he?
context: Yes?\Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he? response:	I- I don't know, but I think he's one of Vegeta's pals.
context: Gohan, did you see him? The weird one, flying second from the front?\Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals. response:	They were all wearing the same kind of outfits.
context: Yes. I sensed an incredible power from him.\The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits. response:	Dammit! How are we supposed to get the Dragon Balls away from those guys!?
context: The moment I saw him, I froze.\That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!? response:	H- hey, look at this.
context: That guy might be even more ridiculously powerful than Vegeta.\I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this. response:	That group just now is heading toward another Dragon Ball.
context: I- it looked like there were some other amazing guys in there,\but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball. response:	What's going on? Do they have radar, too?
context: but that guy was in a whole different league.\Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too? response:	What's the location?
context: Stronger than Vegeta? It couldn't be! Just who is he?\I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location? response:	About 14 kilometers in that direction.
context: I- I don't know, but I think he's one of Vegeta's pals.\They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction. response:	That's where we sensed that Ki Kuririn- san said could be Namekians!
context: They were all wearing the same kind of outfits.\Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians! response:	I'm going to go over there and see what's going on.
context: Dammit! How are we supposed to get the Dragon Balls away from those guys!?\H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on. response:	I'm going with you!
context: H- hey, look at this.\That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you! response:	J- just a minute, now!
context: That group just now is heading toward another Dragon Ball.\What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now! response:	Are you planning on leaving me here all by myself!?
context: What's going on? Do they have radar, too?\What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!? response:	It's a lot safer staying here than moving around carelessly.
context: What's the location?\About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly. response:	W- when you put it that way, you're right.
context: About 14 kilometers in that direction.\That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right. response:	Okay then, I'll put up a house with my Capsules inside this cave and wait for you.
context: That's where we sensed that Ki Kuririn- san said could be Namekians!\I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you. response:	Okay, please do.
