context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on. response:	From this moment on, Riki,
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki, response:	you are the leader of the Little Busters!
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters! response:	I'm the leader?
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader? response:	This has to be another one of his jokes.
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes. response:	He's just screwing with me.
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes.\He's just screwing with me. response:	Yahoo!
context: Why did Kyousuke say that?\I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes.\He's just screwing with me.\Yahoo! response:	The Little Busters are the best!
context: I won't lead the Little Busters from now on.\From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes.\He's just screwing with me.\Yahoo!\The Little Busters are the best! response:	It's time for baseball!
context: From this moment on, Riki,\you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes.\He's just screwing with me.\Yahoo!\The Little Busters are the best!\It's time for baseball! response:	I'm so pumped up!
context: you are the leader of the Little Busters!\I'm the leader?\This has to be another one of his jokes.\He's just screwing with me.\Yahoo!\The Little Busters are the best!\It's time for baseball!\I'm so pumped up! response:	What the heck?
context: I'm the leader?\This has to be another one of his jokes.\He's just screwing with me.\Yahoo!\The Little Busters are the best!\It's time for baseball!\I'm so pumped up!\What the heck? response:	Yo.
context: This has to be another one of his jokes.\He's just screwing with me.\Yahoo!\The Little Busters are the best!\It's time for baseball!\I'm so pumped up!\What the heck?\Yo. response:	Wh-What's with that jacket?
context: He's just screwing with me.\Yahoo!\The Little Busters are the best!\It's time for baseball!\I'm so pumped up!\What the heck?\Yo.\Wh-What's with that jacket? response:	Oh, I made this Little Busters jacket myself.
context: Yahoo!\The Little Busters are the best!\It's time for baseball!\I'm so pumped up!\What the heck?\Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself. response:	Huh?!
context: The Little Busters are the best!\It's time for baseball!\I'm so pumped up!\What the heck?\Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?! response:	You made it yourself?!
context: It's time for baseball!\I'm so pumped up!\What the heck?\Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?! response:	Even the embroidery?!
context: I'm so pumped up!\What the heck?\Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?!\Even the embroidery?! response:	Creepy.
context: What the heck?\Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?!\Even the embroidery?!\Creepy. response:	You made this logo yourself too?
context: Yo.\Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?!\Even the embroidery?!\Creepy.\You made this logo yourself too? response:	Yeah.
