context: Helpful Advice from Golubaeser Asako response:	Helpful Advice from Golubaeser Asako!
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako! response:	Cultural festival!
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival! response:	Cultural Festival
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival response:	Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! response:	Zombie House of Terror
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror response:	Cultural Festival
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival response:	Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()
context: Helpful Advice from Golubaeser Asako\Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () response:	Slaughter! Kill'em all!
context: Helpful Advice from Golubaeser Asako!\Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all! response:	It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...
context: Cultural festival!\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice... response:	Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani
context: Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani response:	All or Nothing
context: Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads!\Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing response:	I have to face myself.
context: Zombie House of Terror\Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself. response:	If these feelings won't go away, I need to stop running.
context: Cultural Festival\Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running. response:	Yo.
context: Today was the cultural festival Our class did grate It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb ()\Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running.\Yo. response:	You're awake, Shizuku?
context: Slaughter! Kill'em all!\It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku? response:	What are you doing here?
context: It was worth all the practice! There was a party afterwads! But I pickd the wrong song to sing and looked dumb () Ooh, but something wonderful happened today! My best friend Mitty finally called me her friend. I don't think I'll get any sleep tonite after everything that happened Friends are nice...\Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku?\What are you doing here? response:	Natsume and Sasayan want to study together,
context: Good job the other day. I noticed a lot of typos. And what does the Golubaeser in your blog title mean? Mizutani\All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together, response:	so I came here to get you.
context: All or Nothing\I have to face myself.\If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you. response:	You need to buy a cell phone.
context: I have to face myself.\If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you.\You need to buy a cell phone. response:	No, that's not what I meant...
context: If these feelings won't go away, I need to stop running.\Yo.\You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you.\You need to buy a cell phone.\No, that's not what I meant... response:	This would be considered breaking and entering.
context: Yo.\You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you.\You need to buy a cell phone.\No, that's not what I meant...\This would be considered breaking and entering. response:	I tried to enter through the front door,
context: You're awake, Shizuku?\What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you.\You need to buy a cell phone.\No, that's not what I meant...\This would be considered breaking and entering.\I tried to enter through the front door, response:	but your dad was surprised'cause he didn't know school was off today.
context: What are you doing here?\Natsume and Sasayan want to study together,\so I came here to get you.\You need to buy a cell phone.\No, that's not what I meant...\This would be considered breaking and entering.\I tried to enter through the front door,\but your dad was surprised'cause he didn't know school was off today. response:	Why would Dad still be home?
