context: Huh?! response:	Hikari...
context: Huh?!\Hikari... response:	You've kissed someone before?
context: Huh?!\Hikari...\You've kissed someone before? response:	Yep.
context: Huh?!\Hikari...\You've kissed someone before?\Yep. response:	S-So...
context: Huh?!\Hikari...\You've kissed someone before?\Yep.\S-So... response:	Who was it?
context: Huh?!\Hikari...\You've kissed someone before?\Yep.\S-So...\Who was it? response:	Sensei!
context: Huh?!\Hikari...\You've kissed someone before?\Yep.\S-So...\Who was it?\Sensei! response:	On the cheek.
context: Huh?!\Hikari...\You've kissed someone before?\Yep.\S-So...\Who was it?\Sensei!\On the cheek. response:	Oh, just on the cheek?
context: Hikari...\You've kissed someone before?\Yep.\S-So...\Who was it?\Sensei!\On the cheek.\Oh, just on the cheek? response:	My little sister kisses my cheek a lot, too.
context: You've kissed someone before?\Yep.\S-So...\Who was it?\Sensei!\On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too. response:	On his cheek, huh?
context: Yep.\S-So...\Who was it?\Sensei!\On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh? response:	I'm still a little jealous.
context: S-So...\Who was it?\Sensei!\On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous. response:	Did I surprise you?
context: Who was it?\Sensei!\On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous.\Did I surprise you? response:	But why?
context: Sensei!\On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous.\Did I surprise you?\But why? response:	He asked me all kinds of questions about vampires,
context: On the cheek.\Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous.\Did I surprise you?\But why?\He asked me all kinds of questions about vampires, response:	Oh...
context: Oh, just on the cheek?\My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous.\Did I surprise you?\But why?\He asked me all kinds of questions about vampires,\Oh... response:	I'm so jealous!
context: My little sister kisses my cheek a lot, too.\On his cheek, huh?\I'm still a little jealous.\Did I surprise you?\But why?\He asked me all kinds of questions about vampires,\Oh...\I'm so jealous! response:	Interviews with Monster Girls
context: On his cheek, huh?\I'm still a little jealous.\Did I surprise you?\But why?\He asked me all kinds of questions about vampires,\Oh...\I'm so jealous!\Interviews with Monster Girls response:	Yuriko, I'm in love with
context: I'm still a little jealous.\Did I surprise you?\But why?\He asked me all kinds of questions about vampires,\Oh...\I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with response:	Kyouko-chan, can you check the water in the bath?
context: Did I surprise you?\But why?\He asked me all kinds of questions about vampires,\Oh...\I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath? response:	Don't say it.
context: But why?\He asked me all kinds of questions about vampires,\Oh...\I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it. response:	Why not?
context: He asked me all kinds of questions about vampires,\Oh...\I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not? response:	It's no good now... I can't be with you.
context: Oh...\I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not?\It's no good now... I can't be with you. response:	Oh, sure!
context: I'm so jealous!\Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not?\It's no good now... I can't be with you.\Oh, sure! response:	I can't trust you anymore, Shun-kun.
context: Interviews with Monster Girls\Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not?\It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun. response:	You have someone else now.
context: Yuriko, I'm in love with\Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not?\It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now. response:	The Dullahan Surpasses Space-Time
context: Kyouko-chan, can you check the water in the bath?\Don't say it.\Why not?\It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time response:	But it isn't me she loves. It's my money!
context: Don't say it.\Why not?\It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money! response:	But you told me you loved her!
context: Why not?\It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her! response:	Mom, the water's ready, so I'm turning it off!
context: It's no good now... I can't be with you.\Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off! response:	Can you honestly say that wasn't true?
context: Oh, sure!\I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true? response:	Okay, thanks.
context: I can't trust you anymore, Shun-kun.\You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks. response:	Look me in the eye and say it!
context: You have someone else now.\The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it! response:	Hikari-chan said she kissed Takahashi-sensei
context: The Dullahan Surpasses Space-Time\But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei response:	The only one I really love is you, Yuriko.
context: But it isn't me she loves. It's my money!\But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko. response:	as a joke, to shake him up a bit.
context: But you told me you loved her!\Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit. response:	I'm sure Sensei took it as a joke, too.
context: Mom, the water's ready, so I'm turning it off!\Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too. response:	Shun-kun...
context: Can you honestly say that wasn't true?\Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun... response:	Yuriko...
context: Okay, thanks.\Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko... response:	Then, wouldn't it also be okay for me to kiss him?
context: Look me in the eye and say it!\Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him? response:	I just need to carry these, right?
context: Hikari-chan said she kissed Takahashi-sensei\The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right? response:	Sorry to make you do all the heavy work.
context: The only one I really love is you, Yuriko.\as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work. response:	It's no trouble...
context: as a joke, to shake him up a bit.\I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble... response:	In a way, that's all I'm good for.
context: I'm sure Sensei took it as a joke, too.\Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for. response:	He certainly does good work for us, doesn't he?
context: Shun-kun...\Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he? response:	Yes.
context: Yuriko...\Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes. response:	He's even taken the initiative to offer counseling for our demi-human students.
context: Then, wouldn't it also be okay for me to kiss him?\I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students. response:	Their parents are fond of him, too.
context: I just need to carry these, right?\Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too. response:	That is true, but...
context: Sorry to make you do all the heavy work.\It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but... response:	What's the matter?
context: It's no trouble...\In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but...\What's the matter? response:	Nothing.
context: In a way, that's all I'm good for.\He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but...\What's the matter?\Nothing. response:	That vice principal's such a jerk, making me do all the heavy work.
context: He certainly does good work for us, doesn't he?\Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but...\What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work. response:	Being so beefy's getting to be a problem.
context: Yes.\He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but...\What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem. response:	Takahashi-sensei!
context: He's even taken the initiative to offer counseling for our demi-human students.\Their parents are fond of him, too.\That is true, but...\What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei! response:	Hey, Machi...
context: Their parents are fond of him, too.\That is true, but...\What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi... response:	Shall I help you?
context: That is true, but...\What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi...\Shall I help you? response:	I'm fine. Thanks, though.
context: What's the matter?\Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi...\Shall I help you?\I'm fine. Thanks, though. response:	What's up?
context: Nothing.\That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi...\Shall I help you?\I'm fine. Thanks, though.\What's up? response:	Do you need... something?
context: That vice principal's such a jerk, making me do all the heavy work.\Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi...\Shall I help you?\I'm fine. Thanks, though.\What's up?\Do you need... something? response:	I-Is something wrong?
context: Being so beefy's getting to be a problem.\Takahashi-sensei!\Hey, Machi...\Shall I help you?\I'm fine. Thanks, though.\What's up?\Do you need... something?\I-Is something wrong? response:	N-No, nothing's wrong.
context: Takahashi-sensei!\Hey, Machi...\Shall I help you?\I'm fine. Thanks, though.\What's up?\Do you need... something?\I-Is something wrong?\N-No, nothing's wrong. response:	O-Okay, then.
context: Hey, Machi...\Shall I help you?\I'm fine. Thanks, though.\What's up?\Do you need... something?\I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then. response:	Is holding the head at eye level the in thing with dullahans now?
context: Shall I help you?\I'm fine. Thanks, though.\What's up?\Do you need... something?\I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now? response:	Then again, Machi's the only dullahan in Japan.
context: I'm fine. Thanks, though.\What's up?\Do you need... something?\I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan. response:	She must have some specific reason.
context: What's up?\Do you need... something?\I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason. response:	T-Takahashi-sensei...
context: Do you need... something?\I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei... response:	Y-Yeah? What is it?
context: I-Is something wrong?\N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it? response:	M-Machi?
context: N-No, nothing's wrong.\O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi? response:	I'm carrying heavy stuff right now, so this is dangerous...
context: O-Okay, then.\Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous... response:	Let me finish carrying these first.
context: Is holding the head at eye level the in thing with dullahans now?\Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first. response:	I'm sure there's a reason you want to play around,
context: Then again, Machi's the only dullahan in Japan.\She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around, response:	but it's dangerous to hold your head with an unstable grip
context: She must have some specific reason.\T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip response:	A-Are you all right?
context: T-Takahashi-sensei...\Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right? response:	You aren't... hurt, are you?
context: Y-Yeah? What is it?\M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you? response:	No, I'm fine.
context: M-Machi?\I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you?\No, I'm fine. response:	That happens sometimes.
context: I'm carrying heavy stuff right now, so this is dangerous...\Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you?\No, I'm fine.\That happens sometimes. response:	But surprisingly, I can always catch it pretty easily.
