context: Where are we going, Coach? response:	You'll know when we get there.
context: Where are we going, Coach?\You'll know when we get there. response:	Youth Volleyball Class
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class response:	Let's go home and practice!
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class\Let's go home and practice! response:	That was so much fun!
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class\Let's go home and practice!\That was so much fun! response:	Sorry.
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class\Let's go home and practice!\That was so much fun!\Sorry. response:	Hey, you made him cry.
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class\Let's go home and practice!\That was so much fun!\Sorry.\Hey, you made him cry. response:	What am I even doing here?
context: Where are we going, Coach?\You'll know when we get there.\Youth Volleyball Class\Let's go home and practice!\That was so much fun!\Sorry.\Hey, you made him cry.\What am I even doing here? response:	Shh, stop that.
context: You'll know when we get there.\Youth Volleyball Class\Let's go home and practice!\That was so much fun!\Sorry.\Hey, you made him cry.\What am I even doing here?\Shh, stop that. response:	The class is already over.
context: Youth Volleyball Class\Let's go home and practice!\That was so much fun!\Sorry.\Hey, you made him cry.\What am I even doing here?\Shh, stop that.\The class is already over. response:	Toru! Show me how to serve!
context: Let's go home and practice!\That was so much fun!\Sorry.\Hey, you made him cry.\What am I even doing here?\Shh, stop that.\The class is already over.\Toru! Show me how to serve! response:	Hey! How about showing some respect first?
context: That was so much fun!\Sorry.\Hey, you made him cry.\What am I even doing here?\Shh, stop that.\The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first? response:	O-Oikawa-san!
context: Sorry.\Hey, you made him cry.\What am I even doing here?\Shh, stop that.\The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san! response:	Come on! Move those legs!
context: Hey, you made him cry.\What am I even doing here?\Shh, stop that.\The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs! response:	Nice receive!
context: What am I even doing here?\Shh, stop that.\The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs!\Nice receive! response:	One more!
context: Shh, stop that.\The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs!\Nice receive!\One more! response:	Whoa, I can't get that!
context: The class is already over.\Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs!\Nice receive!\One more!\Whoa, I can't get that! response:	Are you sure you're supposed
context: Toru! Show me how to serve!\Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs!\Nice receive!\One more!\Whoa, I can't get that!\Are you sure you're supposed response:	I'm tired!
context: Hey! How about showing some respect first?\O-Oikawa-san!\Come on! Move those legs!\Nice receive!\One more!\Whoa, I can't get that!\Are you sure you're supposed\I'm tired! response:	to be moving around like that right after getting out of the hospital?
context: O-Oikawa-san!\Come on! Move those legs!\Nice receive!\One more!\Whoa, I can't get that!\Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital? response:	What? If they let you out of the hospital,
context: Come on! Move those legs!\Nice receive!\One more!\Whoa, I can't get that!\Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital, response:	it means they're giving you permission to move around all you want.
context: Nice receive!\One more!\Whoa, I can't get that!\Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want. response:	He's my grandpa.
context: One more!\Whoa, I can't get that!\Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa. response:	Huh?!
context: Whoa, I can't get that!\Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?! response:	Gra...
context: Are you sure you're supposed\I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?!\Gra... response:	Coach Ukai?!
context: I'm tired!\to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?!\Gra...\Coach Ukai?! response:	Haikyu!!
