context: Master. Master. response:	Master! Master! Master!
context: Master. Master.\Master! Master! Master! response:	Zhe Yan, when will Master wake up?
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up? response:	Fifth Sister, Mo Yuan's soul has scattered.
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered. response:	Don't you have the best medical skills of everyone in all the realms?
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms? response:	Aren't you his brother? Why won't you save him?
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him? response:	Zhe Yan, why won't you save him?
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him? response:	Fifth Sister.
context: Master. Master.\Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister. response:	Your master sacrificed his soul to destroy the Bell of the East Emperor.
context: Master! Master! Master!\Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor. response:	No one can save him.
context: Zhe Yan, when will Master wake up?\Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him. response:	Master told me before...
context: Fifth Sister, Mo Yuan's soul has scattered.\Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before... response:	that you need to sacrifice a soul to destroy the Bell of the East Emperor.
context: Don't you have the best medical skills of everyone in all the realms?\Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor. response:	But he also told me
context: Aren't you his brother? Why won't you save him?\Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me response:	that he was the one who created the Bell of the East Emperor.
context: Zhe Yan, why won't you save him?\Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor. response:	That he would find a way to get around it.
context: Fifth Sister.\Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it. response:	I believed him.
context: Your master sacrificed his soul to destroy the Bell of the East Emperor.\No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him. response:	Because Master protected me from three bolts of lightning
context: No one can save him.\Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning response:	his injuries weren't completely healed.
context: Master told me before...\that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed. response:	It's all my fault.
context: that you need to sacrifice a soul to destroy the Bell of the East Emperor.\But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault. response:	Fourth Brother, it's all my fault.
context: But he also told me\that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault. response:	Fifth Sister, do you remember what your master told you before he left?
context: that he was the one who created the Bell of the East Emperor.\That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left? response:	Wait for me.
context: That he would find a way to get around it.\I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me. response:	He did say that.
context: I believed him.\Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that. response:	What kind of person is Mo Yuan?
context: Because Master protected me from three bolts of lightning\his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that.\What kind of person is Mo Yuan? response:	Since he said that, he will definitely come back.
context: his injuries weren't completely healed.\It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back. response:	Really?
context: It's all my fault.\Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really? response:	You know your master better than I do.
context: Fourth Brother, it's all my fault.\Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really?\You know your master better than I do. response:	That's right.
context: Fifth Sister, do you remember what your master told you before he left?\Wait for me.\He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really?\You know your master better than I do.\That's right. response:	Since Master asked us to wait, he will definitely come back.
context: Wait for me.\He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really?\You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back. response:	What I need to do now
context: He did say that.\What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really?\You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now response:	is preserve his body well and wait for him to come back.
context: What kind of person is Mo Yuan?\Since he said that, he will definitely come back.\Really?\You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back. response:	Fifth Sister, you're seriously injured.
context: Since he said that, he will definitely come back.\Really?\You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured. response:	Why don't you come with me to the Fox Clan?
context: Really?\You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan? response:	I'm not going anywhere.
context: You know your master better than I do.\That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere. response:	I'll stay here with Master.
context: That's right.\Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master. response:	If you're going to stay here
context: Since Master asked us to wait, he will definitely come back.\What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here response:	then I'll stay here with you.
context: What I need to do now\is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here\then I'll stay here with you. response:	I'll protect Mo Yuan with you.
context: is preserve his body well and wait for him to come back.\Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you. response:	Just now, I said that Mo Yuan would come back to comfort Fifth Sister.
context: Fifth Sister, you're seriously injured.\Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister. response:	But I don't think it's possible.
context: Why don't you come with me to the Fox Clan?\I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible. response:	Mo Yuan's soul is scattered. How could he come back?
context: I'm not going anywhere.\I'll stay here with Master.\If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back? response:	Zhen Zhen, it seems you don't know Mo Yuan very well.
context: I'll stay here with Master.\If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well. response:	I've known him since childhood.
context: If you're going to stay here\then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood. response:	If he wasn't going to come back
context: then I'll stay here with you.\I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back response:	he absolutely wouldn't torment Fifth Sister with those thoughts.
context: I'll protect Mo Yuan with you.\Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts. response:	You mean...
context: Just now, I said that Mo Yuan would come back to comfort Fifth Sister.\But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean... response:	He might actually come back.
context: But I don't think it's possible.\Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back. response:	A-Yin!
context: Mo Yuan's soul is scattered. How could he come back?\Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back.\A-Yin! response:	Stop!
context: Zhen Zhen, it seems you don't know Mo Yuan very well.\I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back.\A-Yin!\Stop! response:	What are you doing?
context: I've known him since childhood.\If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back.\A-Yin!\Stop!\What are you doing? response:	Master.
context: If he wasn't going to come back\he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back.\A-Yin!\Stop!\What are you doing?\Master. response:	You only knew that I was a fox, right?
context: he absolutely wouldn't torment Fifth Sister with those thoughts.\You mean...\He might actually come back.\A-Yin!\Stop!\What are you doing?\Master.\You only knew that I was a fox, right? response:	You didn't know that I was a nine-tailed white fox.
context: You mean...\He might actually come back.\A-Yin!\Stop!\What are you doing?\Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox. response:	If someone is fed the blood from the heart of a nine-tailed white fox
context: He might actually come back.\A-Yin!\Stop!\What are you doing?\Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox response:	their body will be preserved.
context: A-Yin!\Stop!\What are you doing?\Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved. response:	In the past, I thought that besides having good looks
context: Stop!\What are you doing?\Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks response:	there was nothing great about being a nine-tailed white fox.
context: What are you doing?\Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks\there was nothing great about being a nine-tailed white fox. response:	But today
context: Master.\You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks\there was nothing great about being a nine-tailed white fox.\But today response:	I'm especially grateful that Father and Mother gave me this life.
context: You only knew that I was a fox, right?\You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks\there was nothing great about being a nine-tailed white fox.\But today\I'm especially grateful that Father and Mother gave me this life. response:	Master.
context: You didn't know that I was a nine-tailed white fox.\If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks\there was nothing great about being a nine-tailed white fox.\But today\I'm especially grateful that Father and Mother gave me this life.\Master. response:	Drink this blood from my heart.
context: If someone is fed the blood from the heart of a nine-tailed white fox\their body will be preserved.\In the past, I thought that besides having good looks\there was nothing great about being a nine-tailed white fox.\But today\I'm especially grateful that Father and Mother gave me this life.\Master.\Drink this blood from my heart. response:	Worst comes to worst, I'll follow you in death.
