context: Like what? response:	weeelll...
context: Like what?\weeelll... response:	***2:36
context: Like what?\weeelll...\***2:36 response:	tks
context: Like what?\weeelll...\***2:36\tks response:	Kokoro
context: Like what?\weeelll...\***2:36\tks\Kokoro response:	masshiro PAGE mekuru
context: Like what?\weeelll...\***2:36\tks\Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: Like what?\weeelll...\***2:36\tks\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: Like what?\weeelll...\***2:36\tks\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: weeelll...\***2:36\tks\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: ***2:36\tks\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	that's just waiting to be painted
context: tks\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted response:	mangekyou no fuukei
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences response:	From
context: I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From response:	Me
context: Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me response:	To
context: Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To response:	You
context: tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You response:	kizukeba STORY wa mada
context: that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	kizukeba STORY wa mada
context: with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada response:	This story has only
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
context: This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath response:	shinkokyuu wo mou ikkai
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath response:	aa yawarakakute atatakai kimi no te
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te response:	Your hand is so warm held within mine
context: gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine response:	nigiri shimete sono kokoro no oku made todoku you ni
context: just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni response:	It reaches all the way into my heart
context: shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart response:	hohoenmi de kumeta nara nigirikaeshite kuretara
context: I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara response:	I can't see a brighter future
context: shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future response:	boku wa tada mae wo miteru
context: I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru response:	than you smiling and taking my hand as well
context: aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well response:	The Person I Like
context: Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like response:	The first semester midterms have ended...
context: nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended... response:	I get it!
context: It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended...\I get it! response:	Me too!
context: hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended...\I get it!\Me too! response:	Thanks to Sadako's review session!
context: I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended...\I get it!\Me too!\Thanks to Sadako's review session! response:	Thank you so much, Sadako!
context: boku wa tada mae wo miteru\than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended...\I get it!\Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako! response:	What is that?
context: than you smiling and taking my hand as well\The Person I Like\The first semester midterms have ended...\I get it!\Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that? response:	Constipation? Diuresis?
context: The Person I Like\The first semester midterms have ended...\I get it!\Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that?\Constipation? Diuresis? response:	That's so creepy!
context: The first semester midterms have ended...\I get it!\Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that?\Constipation? Diuresis?\That's so creepy! response:	Supposedly that junior Sadako Kuronuma grows them.
context: I get it!\Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that?\Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them. response:	Sadako?
context: Me too!\Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that?\Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako? response:	Oh her! I've seen her before!
context: Thanks to Sadako's review session!\Thank you so much, Sadako!\What is that?\Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before! response:	There have been stories about her curses since freshmen year!
context: Thank you so much, Sadako!\What is that?\Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year! response:	No way!
context: What is that?\Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way! response:	The theme for this year's school festival is Fantasy!
context: Constipation? Diuresis?\That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy! response:	School Festival Theme
context: That's so creepy!\Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy!\School Festival Theme response:	Fantasy!!
context: Supposedly that junior Sadako Kuronuma grows them.\Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!! response:	Any suggestions for what our class should do?
context: Sadako?\Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!!\Any suggestions for what our class should do? response:	School Festival Theme
context: Oh her! I've seen her before!\There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!!\Any suggestions for what our class should do?\School Festival Theme response:	Fantasy!!
context: There have been stories about her curses since freshmen year!\No way!\The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!!\Any suggestions for what our class should do?\School Festival Theme\Fantasy!! response:	I hope I can participate too.
context: No way!\The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!!\Any suggestions for what our class should do?\School Festival Theme\Fantasy!!\I hope I can participate too. response:	Whatever's fine, just hurry up and pick.
context: The theme for this year's school festival is Fantasy!\School Festival Theme\Fantasy!!\Any suggestions for what our class should do?\School Festival Theme\Fantasy!!\I hope I can participate too.\Whatever's fine, just hurry up and pick. response:	Me, me! I have one!
context: School Festival Theme\Fantasy!!\Any suggestions for what our class should do?\School Festival Theme\Fantasy!!\I hope I can participate too.\Whatever's fine, just hurry up and pick.\Me, me! I have one! response:	What about Sadako's Black Magic Cafe?
context: Fantasy!!\Any suggestions for what our class should do?\School Festival Theme\Fantasy!!\I hope I can participate too.\Whatever's fine, just hurry up and pick.\Me, me! I have one!\What about Sadako's Black Magic Cafe? response:	Black magic?
