context: Invade the Empire of Misurugi?! response:	Embryo is in charge of all of the human world's defenses.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses. response:	Their air defenses aren't great,
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great, response:	so the invasion itself should be easy.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy. response:	I-I see.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy.\I-I see. response:	The problem is Embryo, Salia, and their gang.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang. response:	All right. Here's the plan.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan. response:	Rosalie and I will lead the invasion of the Empire of Misurugi.
context: Invade the Empire of Misurugi?!\Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi. response:	We'll draw away Salia's people.
context: Embryo is in charge of all of the human world's defenses.\Their air defenses aren't great,\so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people. response:	R-Right.
context: Their air defenses aren't great,\so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right. response:	Meanwhile, Vivian will storm the empire's headquarters.
context: so the invasion itself should be easy.\I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters. response:	Find Ange and the Villkiss.
context: I-I see.\The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss. response:	Roger!
context: The problem is Embryo, Salia, and their gang.\All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger! response:	How are we going to find them?
context: All right. Here's the plan.\Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger!\How are we going to find them? response:	Like this: sniff sniff, sniff sniff...
context: Rosalie and I will lead the invasion of the Empire of Misurugi.\We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff... response:	Seriously?
context: We'll draw away Salia's people.\R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously? response:	It beats using radar.
context: R-Right.\Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar. response:	Once we find Ange,
context: Meanwhile, Vivian will storm the empire's headquarters.\Find Ange and the Villkiss.\Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar.\Once we find Ange, response:	Tusk, you'll go in from very low altitude and meet Ange.
context: Find Ange and the Villkiss.\Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange. response:	Get her on the Villkiss and escape.
context: Roger!\How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape. response:	Got it.
context: How are we going to find them?\Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it. response:	The new troops will stand by at the border.
context: Like this: sniff sniff, sniff sniff...\Seriously?\It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border. response:	They'll help Ange and the Villkiss escape.
context: Seriously?\It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape. response:	Y-Yes, ma'am!
context: It beats using radar.\Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am! response:	What's wrong? Are you nervous?
context: Once we find Ange,\Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous? response:	B-But Onee-sama...
context: Tusk, you'll go in from very low altitude and meet Ange.\Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama... response:	I've never flown in the human world before.
context: Get her on the Villkiss and escape.\Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before. response:	Don't worry. It's my first time, too.
context: Got it.\The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too. response:	What?!
