context: Your Majesty. response:	If I may, you don't have to go yourself.
context: Your Majesty.\If I may, you don't have to go yourself. response:	This is a crisis that may affect the country'sno, the entire world's survival.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival. response:	I've not become so feeble in my old age that I must simply wait here for news.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news. response:	As you wish.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish. response:	I apologize for the trouble.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble. response:	Oh, no.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble.\Oh, no. response:	We wouldn't have it any other way, my lady.
context: Your Majesty.\If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady. response:	We shall now put down
context: If I may, you don't have to go yourself.\This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down response:	the traitorous Three Heroes Church's Pope,
context: This is a crisis that may affect the country'sno, the entire world's survival.\I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope, response:	Bisca T. Balmus, and his followers!
context: I've not become so feeble in my old age that I must simply wait here for news.\As you wish.\I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers! response:	Yes, my lady!
context: As you wish.\I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady! response:	We leave immediately! Move the cavalry out!
context: I apologize for the trouble.\Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out! response:	Please, just survive a little longer, Shield Hero... and Melty.
