context: Now you'll be saying goodbye to your johnny, too. response:	Your luck ran out when you met me there.
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there. response:	Hello? I'm busy right now.
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now. response:	Fine.
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine. response:	We'll take a little break.
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine.\We'll take a little break. response:	Stay here and feel ashamed of yourself until I get back.
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back. response:	Episode 6: Eden of the East
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East response:	Is this the right place to drop you?
context: Now you'll be saying goodbye to your johnny, too.\Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you? response:	Thanks.
context: Your luck ran out when you met me there.\Hello? I'm busy right now.\Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you?\Thanks. response:	It's okay if you come with me, you know.
context: Hello? I'm busy right now.\Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know. response:	I know, but I'll go home for today.
context: Fine.\We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today. response:	Okay. Bring everyone over with you, then. I'll be waiting.
context: We'll take a little break.\Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting. response:	Hello, Morimi residence.
context: Stay here and feel ashamed of yourself until I get back.\Episode 6: Eden of the East\Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence. response:	Saki? Hurry up and come home!
context: Episode 6: Eden of the East\Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home! response:	No. I'm too ashamed to see Ryosuke.
context: Is this the right place to drop you?\Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke. response:	Come on, Ryosuke's not angry with you.
context: Thanks.\It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you. response:	Well, I don't want to come home right now.
context: It's okay if you come with me, you know.\I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now. response:	What are you talking about? Where are you now, anyway?
context: I know, but I'll go home for today.\Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway? response:	At Micchon's
context: Okay. Bring everyone over with you, then. I'll be waiting.\Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's response:	I'm going to stay with her for a while, so don't worry about me.
context: Hello, Morimi residence.\Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me. response:	No, you come home right now!
context: Saki? Hurry up and come home!\No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now! response:	I'm sorry. I'll call you later.
context: No. I'm too ashamed to see Ryosuke.\Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later. response:	It's not like we don't know where she is,
context: Come on, Ryosuke's not angry with you.\Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is, response:	so let's let her alone for a while.
context: Well, I don't want to come home right now.\What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while. response:	You're too easy on her.
context: What are you talking about? Where are you now, anyway?\At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her. response:	Gotta apologize to Osugi, too.
context: At Micchon's\I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too. response:	What are you doing down there?
context: I'm going to stay with her for a while, so don't worry about me.\No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there? response:	Would you lend me some clothes?
context: No, you come home right now!\I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes? response:	Eden of the East
context: I'm sorry. I'll call you later.\It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes?\Eden of the East response:	I guess maybe this sounds fishy?
context: It's not like we don't know where she is,\so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy? response:	You couldn't call it anything but fishy!
context: so let's let her alone for a while.\You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy! response:	You should probably go home for now.
context: You're too easy on her.\Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now. response:	If nothing else, it's hard to swallow this Takizawa's story.
context: Gotta apologize to Osugi, too.\What are you doing down there?\Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story. response:	And I'm not sure about that outfit you're wearing, either.
context: What are you doing down there?\Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either. response:	What's wrong with it? Saki looks good in anything.
