context: Those are Covers... response:	Run, everyone! Run!
context: Those are Covers...\Run, everyone! Run! response:	Beautiful...
context: Those are Covers...\Run, everyone! Run!\Beautiful... response:	Ryuko!
context: Those are Covers...\Run, everyone! Run!\Beautiful...\Ryuko! response:	Very few humans are merged this perfectly with Life Fibers.
context: Those are Covers...\Run, everyone! Run!\Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers. response:	Truly, you are my daughter.
context: Those are Covers...\Run, everyone! Run!\Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter. response:	No way! Ryuko's the daughter of the director?!
context: Those are Covers...\Run, everyone! Run!\Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?! response:	I'm being pulled up!
context: Those are Covers...\Run, everyone! Run!\Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up! response:	Mako!
context: Run, everyone! Run!\Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up!\Mako! response:	Sis!
context: Beautiful...\Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up!\Mako!\Sis! response:	Mako!
context: Ryuko!\Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up!\Mako!\Sis!\Mako! response:	Cut the thread! Escape, Mankanshoku!
context: Very few humans are merged this perfectly with Life Fibers.\Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up!\Mako!\Sis!\Mako!\Cut the thread! Escape, Mankanshoku! response:	Mankanshoku!
context: Truly, you are my daughter.\No way! Ryuko's the daughter of the director?!\I'm being pulled up!\Mako!\Sis!\Mako!\Cut the thread! Escape, Mankanshoku!\Mankanshoku! response:	Some-bo-dy-help!
