context: Hey, do you think people avoid us when we come through? response:	You're just too intimidating.
context: Hey, do you think people avoid us when we come through?\You're just too intimidating. response:	Really?
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really? response:	But we aren't doing anything!
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really?\But we aren't doing anything! response:	Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too. response:	Right! I've heard of him!
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him! response:	Someone who saw him said he's over two meters tall, like a new species of bear!
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear! response:	I heard he almost killed someone right in front of the cops.
context: Hey, do you think people avoid us when we come through?\You're just too intimidating.\Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops. response:	No way!
context: You're just too intimidating.\Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way! response:	That's only a rumor. People keep exaggerating.
context: Really?\But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating. response:	It's just like an urban legend!
context: But we aren't doing anything!\Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend! response:	Right, yeah...
context: Oh, yeah... I heard there's a real intimidating guy at Shuuei High, too.\Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah... response:	No way he's two meters tall.
context: Right! I've heard of him!\Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah...\No way he's two meters tall. response:	Yeah, and a new bear species? Please...
context: Someone who saw him said he's over two meters tall, like a new species of bear!\I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please... response:	I saw an urban legend!
context: I heard he almost killed someone right in front of the cops.\No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend! response:	He's totally over two meters tall!
context: No way!\That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall! response:	AHHH
context: That's only a rumor. People keep exaggerating.\It's just like an urban legend!\Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall!\AHHH response:	Crap!
context: It's just like an urban legend!\Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall!\AHHH\Crap! response:	He saw me!
context: Right, yeah...\No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall!\AHHH\Crap!\He saw me! response:	He's gonna strangle me!
context: No way he's two meters tall.\Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall!\AHHH\Crap!\He saw me!\He's gonna strangle me! response:	He's gonna eat me!
context: Yeah, and a new bear species? Please...\I saw an urban legend!\He's totally over two meters tall!\AHHH\Crap!\He saw me!\He's gonna strangle me!\He's gonna eat me! response:	Sorry to keep you waiting.
context: I saw an urban legend!\He's totally over two meters tall!\AHHH\Crap!\He saw me!\He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting. response:	I arrived just now, too.
context: He's totally over two meters tall!\AHHH\Crap!\He saw me!\He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too. response:	The urban legend has a girlfriend!
context: AHHH\Crap!\He saw me!\He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend! response:	My Christmas
context: Crap!\He saw me!\He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend!\My Christmas response:	I'm Gouda Takeo, a first-year in high school.
context: He saw me!\He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school. response:	It's now winter,
context: He's gonna strangle me!\He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter, response:	but I still feel like I'm in spring.
context: He's gonna eat me!\Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring. response:	And soon...
context: Sorry to keep you waiting.\I arrived just now, too.\The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring.\And soon... response:	It'll be Christmas soon!
context: I arrived just now, too.\The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring.\And soon...\It'll be Christmas soon! response:	Yeah.
