context: Fist of Flowing Water, Crushed Rock! response:	Those moves are the perfect offense and defense alike.
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike. response:	They may be using the same style, but the difference in skill is obvious.
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious. response:	This battle's already been decided.
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided. response:	What the hell? The old man never fights this fiercely...
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely... response:	Sh-Shit... I'm losing consciousness...
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness... response:	Actually... I'm probably going to die.
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die. response:	Why are you moving so strangely?
context: Fist of Flowing Water, Crushed Rock!\Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely? response:	Where did you learn that?
context: Those moves are the perfect offense and defense alike.\They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that? response:	You're like a beast.
context: They may be using the same style, but the difference in skill is obvious.\This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that?\You're like a beast. response:	Not yet...
context: This battle's already been decided.\What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that?\You're like a beast.\Not yet... response:	I can still figure this out if I use him...
context: What the hell? The old man never fights this fiercely...\Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that?\You're like a beast.\Not yet...\I can still figure this out if I use him... response:	Not happening.
context: Sh-Shit... I'm losing consciousness...\Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that?\You're like a beast.\Not yet...\I can still figure this out if I use him...\Not happening. response:	I took care of the monsters.
context: Actually... I'm probably going to die.\Why are you moving so strangely?\Where did you learn that?\You're like a beast.\Not yet...\I can still figure this out if I use him...\Not happening.\I took care of the monsters. response:	Bang, all that's left is Garo.
context: Why are you moving so strangely?\Where did you learn that?\You're like a beast.\Not yet...\I can still figure this out if I use him...\Not happening.\I took care of the monsters.\Bang, all that's left is Garo. response:	Cleaning Up the Disciple's Mess
context: Where did you learn that?\You're like a beast.\Not yet...\I can still figure this out if I use him...\Not happening.\I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess response:	I sent in some monsters in order to take Garo alive,
context: You're like a beast.\Not yet...\I can still figure this out if I use him...\Not happening.\I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive, response:	but the Demon Cyborg...
context: Not yet...\I can still figure this out if I use him...\Not happening.\I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg... response:	I didn't expect him to be that strong.
context: I can still figure this out if I use him...\Not happening.\I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong. response:	And even Silverfang is here.
context: Not happening.\I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here. response:	This will make it hard to snatch him.
context: I took care of the monsters.\Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him. response:	But if I go back empty-handed, Orochi might eat me next.
context: Bang, all that's left is Garo.\Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next. response:	I need Garo to survive this on his own somehow,
context: Cleaning Up the Disciple's Mess\I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow, response:	but I'm not sure things could be any worse.
context: I sent in some monsters in order to take Garo alive,\but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse. response:	Say, Big Bro, if you were him,
context: but the Demon Cyborg...\I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him, response:	would you still be able to stand after being hurt that badly?
