context: Morning! response:	You're so noisy in the morning.
context: Morning!\You're so noisy in the morning. response:	I'm not noisy.
context: Morning!\You're so noisy in the morning.\I'm not noisy. response:	A monster will shakes the whole house by just walking around.
context: Morning!\You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around. response:	I'm not a monster!
context: Morning!\You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster! response:	Have you gained weight recently?
context: Morning!\You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently? response:	It's fall, the season for monsters to gain weight.
context: Morning!\You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight. response:	I haven't gained weight!
context: Morning!\You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight! response:	It looks like you haven't gotten any taller, at least.
context: You're so noisy in the morning.\I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least. response:	This sucks!
context: I'm not noisy.\A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks! response:	One day, I'll grow big, and for sure'
context: A monster will shakes the whole house by just walking around.\I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure' response:	I'll squish him for sure!
context: I'm not a monster!\Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure! response:	Naoko!
context: Have you gained weight recently?\It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko! response:	Sakura.
context: It's fall, the season for monsters to gain weight.\I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko!\Sakura. response:	It's lunchtime, right?
context: I haven't gained weight!\It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko!\Sakura.\It's lunchtime, right? response:	Come eat with us.
context: It looks like you haven't gotten any taller, at least.\This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko!\Sakura.\It's lunchtime, right?\Come eat with us. response:	Yes.
context: This sucks!\One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko!\Sakura.\It's lunchtime, right?\Come eat with us.\Yes. response:	What were you reading?
context: One day, I'll grow big, and for sure'\I'll squish him for sure!\Naoko!\Sakura.\It's lunchtime, right?\Come eat with us.\Yes.\What were you reading? response:	I borrowed it from the library.
context: I'll squish him for sure!\Naoko!\Sakura.\It's lunchtime, right?\Come eat with us.\Yes.\What were you reading?\I borrowed it from the library. response:	Is it a scary book?
context: Naoko!\Sakura.\It's lunchtime, right?\Come eat with us.\Yes.\What were you reading?\I borrowed it from the library.\Is it a scary book? response:	No, it's a fantasy novel.
context: Sakura.\It's lunchtime, right?\Come eat with us.\Yes.\What were you reading?\I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel. response:	Fantasy?
context: It's lunchtime, right?\Come eat with us.\Yes.\What were you reading?\I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel.\Fantasy? response:	Do you like reading fantasy novels?
context: Come eat with us.\Yes.\What were you reading?\I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels? response:	It looks interesting.
context: Yes.\What were you reading?\I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels?\It looks interesting. response:	What kind of story is it?
context: What were you reading?\I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels?\It looks interesting.\What kind of story is it? response:	There's a dragon, and there's a turtle bigger than a mountain!
context: I borrowed it from the library.\Is it a scary book?\No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels?\It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain! response:	There's a story like that from China, you know.
context: Is it a scary book?\No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels?\It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know. response:	Mei-ling'
context: No, it's a fantasy novel.\Fantasy?\Do you like reading fantasy novels?\It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling' response:	It's like the one about the old man who saved his village'
context: Fantasy?\Do you like reading fantasy novels?\It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village' response:	'from a day long siege by 100 horsemen.
context: Do you like reading fantasy novels?\It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen. response:	Hey, you know where Shao-Lang is?
context: It looks interesting.\What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is? response:	He's supposed to eat lunch with me,
context: What kind of story is it?\There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me, response:	but he isn't around.
context: There's a dragon, and there's a turtle bigger than a mountain!\There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around. response:	If you're looking for Li, he was heading towards the roof.
context: There's a story like that from China, you know.\Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof. response:	Oh, okay. Thanks!
context: Mei-ling'\It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks! response:	Shao-Lang!
context: It's like the one about the old man who saved his village'\'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang! response:	Mei-ling!
context: 'from a day long siege by 100 horsemen.\Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang!\Mei-ling! response:	Why'd you disappear even though
context: Hey, you know where Shao-Lang is?\He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang!\Mei-ling!\Why'd you disappear even though response:	you knew I made lunch for you?!
context: He's supposed to eat lunch with me,\but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang!\Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?! response:	That's'
context: but he isn't around.\If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang!\Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?!\That's' response:	Meanie, meanie, meanie, meanie, meanie!
context: If you're looking for Li, he was heading towards the roof.\Oh, okay. Thanks!\Shao-Lang!\Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie! response:	It's because I felt an aura!
context: Oh, okay. Thanks!\Shao-Lang!\Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura! response:	By'aura,' do you mean'
context: Shao-Lang!\Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean' response:	A Clow Card.
context: Mei-ling!\Why'd you disappear even though\you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean'\A Clow Card. response:	Hey, is that any good?
context: Why'd you disappear even though\you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean'\A Clow Card.\Hey, is that any good? response:	How nice'
context: you knew I made lunch for you?!\That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean'\A Clow Card.\Hey, is that any good?\How nice' response:	A used book store.
context: That's'\Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean'\A Clow Card.\Hey, is that any good?\How nice'\A used book store. response:	Hey, can we go check it out for a few minutes?
context: Meanie, meanie, meanie, meanie, meanie!\It's because I felt an aura!\By'aura,' do you mean'\A Clow Card.\Hey, is that any good?\How nice'\A used book store.\Hey, can we go check it out for a few minutes? response:	Sure.
context: It's because I felt an aura!\By'aura,' do you mean'\A Clow Card.\Hey, is that any good?\How nice'\A used book store.\Hey, can we go check it out for a few minutes?\Sure. response:	Naoko sure is a book lover.
context: By'aura,' do you mean'\A Clow Card.\Hey, is that any good?\How nice'\A used book store.\Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover. response:	Just a while ago she was praised
context: A Clow Card.\Hey, is that any good?\How nice'\A used book store.\Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover.\Just a while ago she was praised response:	by Miss Midori for her reading.
context: Hey, is that any good?\How nice'\A used book store.\Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading. response:	That's right.
context: How nice'\A used book store.\Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading.\That's right. response:	Is there something wrong?
context: A used book store.\Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading.\That's right.\Is there something wrong? response:	The aura of a Clow Card.
context: Hey, can we go check it out for a few minutes?\Sure.\Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading.\That's right.\Is there something wrong?\The aura of a Clow Card. response:	Where is it coming from?
context: Sure.\Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading.\That's right.\Is there something wrong?\The aura of a Clow Card.\Where is it coming from? response:	From there I think.
context: Naoko sure is a book lover.\Just a while ago she was praised\by Miss Midori for her reading.\That's right.\Is there something wrong?\The aura of a Clow Card.\Where is it coming from?\From there I think. response:	Do you need to go find it?
context: Just a while ago she was praised\by Miss Midori for her reading.\That's right.\Is there something wrong?\The aura of a Clow Card.\Where is it coming from?\From there I think.\Do you need to go find it? response:	Yeah'
context: by Miss Midori for her reading.\That's right.\Is there something wrong?\The aura of a Clow Card.\Where is it coming from?\From there I think.\Do you need to go find it?\Yeah' response:	Sakura, Tomoyo, what's wrong?
context: That's right.\Is there something wrong?\The aura of a Clow Card.\Where is it coming from?\From there I think.\Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong? response:	Oh, nothing. We'll be right there.
context: Is there something wrong?\The aura of a Clow Card.\Where is it coming from?\From there I think.\Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there. response:	Is it alright about the card'?
context: The aura of a Clow Card.\Where is it coming from?\From there I think.\Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'? response:	There are too many people, anyway. We'll come back later tonight and find it.
context: Where is it coming from?\From there I think.\Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it. response:	As the Card Captor, right?
context: From there I think.\Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right? response:	I made a new costume for you!
context: Do you need to go find it?\Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you! response:	T' Tomoyo'
context: Yeah'\Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you!\T' Tomoyo' response:	Huh?
context: Sakura, Tomoyo, what's wrong?\Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you!\T' Tomoyo'\Huh? response:	There's no name on the spine.
context: Oh, nothing. We'll be right there.\Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you!\T' Tomoyo'\Huh?\There's no name on the spine. response:	Huh?
context: Is it alright about the card'?\There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you!\T' Tomoyo'\Huh?\There's no name on the spine.\Huh? response:	Please write the next chapter of this story.
context: There are too many people, anyway. We'll come back later tonight and find it.\As the Card Captor, right?\I made a new costume for you!\T' Tomoyo'\Huh?\There's no name on the spine.\Huh?\Please write the next chapter of this story. response:	Sounds interesting. I'll get this!
context: As the Card Captor, right?\I made a new costume for you!\T' Tomoyo'\Huh?\There's no name on the spine.\Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this! response:	It's so cute!
context: I made a new costume for you!\T' Tomoyo'\Huh?\There's no name on the spine.\Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute! response:	I'm so happy'
context: T' Tomoyo'\Huh?\There's no name on the spine.\Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute!\I'm so happy' response:	Your happiness comes pretty easy.
context: Huh?\There's no name on the spine.\Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute!\I'm so happy'\Your happiness comes pretty easy. response:	Being with someone you love'
context: There's no name on the spine.\Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute!\I'm so happy'\Your happiness comes pretty easy.\Being with someone you love' response:	'and being able to take a video of her
context: Huh?\Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute!\I'm so happy'\Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her response:	wearing cute clothes!
context: Please write the next chapter of this story.\Sounds interesting. I'll get this!\It's so cute!\I'm so happy'\Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her\wearing cute clothes! response:	I couldn't ask for a better situation!
context: Sounds interesting. I'll get this!\It's so cute!\I'm so happy'\Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation! response:	You'll get a shot of the super-cool me, too, right?
context: It's so cute!\I'm so happy'\Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right? response:	Are you playing around?
context: I'm so happy'\Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around? response:	Huh?
context: Your happiness comes pretty easy.\Being with someone you love'\'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh? response:	You getting in our way again, brat and little wench?
context: Being with someone you love'\'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh?\You getting in our way again, brat and little wench? response:	You're getting in our way.
context: 'and being able to take a video of her\wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh?\You getting in our way again, brat and little wench?\You're getting in our way. response:	You're too late, anyway.
context: wearing cute clothes!\I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh?\You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway. response:	Shao-Lang noticed the aura of a Clow Card
context: I couldn't ask for a better situation!\You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh?\You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card response:	around lunchtime.
context: You'll get a shot of the super-cool me, too, right?\Are you playing around?\Huh?\You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime. response:	Sakura had noticed by then, too!
context: Are you playing around?\Huh?\You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too! response:	Right?
