context: Diamond Service! response:	With Diamond Service, you get diamond-level security.
context: Diamond Service!\With Diamond Service, you get diamond-level security. response:	All bugs and performance issues will be fixed right away.
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away. response:	And with our newest service, we can link our control panel to your restaurant kitchen's system!
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system! response:	If you are an industry professional, we look forward to hearing from you.
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you. response:	Diamond Service!
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service! response:	Himouto Umaru-chan R has been brought to you by this sponsor!
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor! response:	My company sponsored this?!
context: Diamond Service!\With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?! response:	Well, I'm all set.
context: With Diamond Service, you get diamond-level security.\All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set. response:	You haven't packed a whole lot if you'll be gone for two weeks...
context: All bugs and performance issues will be fixed right away.\And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks... response:	Anyway, I'm worried about leaving you alone for so long.
context: And with our newest service, we can link our control panel to your restaurant kitchen's system!\If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long. response:	I told you, I'll be fine. Kirie will come by and stuff.
context: If you are an industry professional, we look forward to hearing from you.\Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff. response:	Ah! Is it okay if I order some pizza?
context: Diamond Service!\Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza? response:	I wanna have a party, Big Brother!
context: Himouto Umaru-chan R has been brought to you by this sponsor!\My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother! response:	I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!
context: My company sponsored this?!\Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother! response:	I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?
context: Well, I'm all set.\You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? response:	This should be enough, right?
context: You haven't packed a whole lot if you'll be gone for two weeks...\Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right? response:	Whoa! You're so kind, Big Brother!
context: Anyway, I'm worried about leaving you alone for so long.\I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother! response:	Don't go wasting it.
context: I told you, I'll be fine. Kirie will come by and stuff.\Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it. response:	A business trip on our day off... sure is a pain, huh?
context: Ah! Is it okay if I order some pizza?\I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh? response:	What gives, Tanukichi? You get some spending money?
context: I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money? response:	Ten thousand smackers!
context: I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh? I wanna have a party, Big Brother!\I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers! response:	I'll be gone for two weeks, so...
context: I made some food and put it in the freezer, but I guess she'd get bored eating just that, huh?\This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so... response:	Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!
context: This should be enough, right?\Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day! response:	O-oh?
context: Whoa! You're so kind, Big Brother!\Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh? response:	Well then, 20,000 should do, right?
context: Don't go wasting it.\A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right? response:	Wh-whaaat?
context: A business trip on our day off... sure is a pain, huh?\What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right?\Wh-whaaat? response:	Blessings upon you, Lord Bomba!
context: What gives, Tanukichi? You get some spending money?\Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba! response:	Blessings, blessings!
context: Ten thousand smackers!\I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings! response:	Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!
context: I'll be gone for two weeks, so...\Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings! response:	Oh, yeah... Hamamatsu is famous for eel, right?
