context: Hey. Morning. response:	Hi.
context: Hey. Morning.\Hi. response:	Huh? Don't you have anything to say about my winter uniform?
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform? response:	What do you want so early in the day?
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day? response:	I thought I'd walk to school with you.
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you. response:	You tend to stand out, so I'd rather not.
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not. response:	I told the girls about work yesterday.
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday. response:	They were so surprised.
context: Hey. Morning.\Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised. response:	An actress?!
context: Hi.\Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised.\An actress?! response:	Can I get an autograph?
context: Huh? Don't you have anything to say about my winter uniform?\What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised.\An actress?!\Can I get an autograph? response:	You? Seriously?
context: What do you want so early in the day?\I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised.\An actress?!\Can I get an autograph?\You? Seriously? response:	When's the movie coming out?!
context: I thought I'd walk to school with you.\You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised.\An actress?!\Can I get an autograph?\You? Seriously?\When's the movie coming out?! response:	I bet.
context: You tend to stand out, so I'd rather not.\I told the girls about work yesterday.\They were so surprised.\An actress?!\Can I get an autograph?\You? Seriously?\When's the movie coming out?!\I bet. response:	Still...
context: I told the girls about work yesterday.\They were so surprised.\An actress?!\Can I get an autograph?\You? Seriously?\When's the movie coming out?!\I bet.\Still... response:	It's a load off my shoulders.
context: They were so surprised.\An actress?!\Can I get an autograph?\You? Seriously?\When's the movie coming out?!\I bet.\Still...\It's a load off my shoulders. response:	Midterm Exams
context: An actress?!\Can I get an autograph?\You? Seriously?\When's the movie coming out?!\I bet.\Still...\It's a load off my shoulders.\Midterm Exams response:	The midterms will begin next week.
context: Can I get an autograph?\You? Seriously?\When's the movie coming out?!\I bet.\Still...\It's a load off my shoulders.\Midterm Exams\The midterms will begin next week. response:	Just so you know,
context: You? Seriously?\When's the movie coming out?!\I bet.\Still...\It's a load off my shoulders.\Midterm Exams\The midterms will begin next week.\Just so you know, response:	any scores below thirty will be deemed failing grades, as always.
context: When's the movie coming out?!\I bet.\Still...\It's a load off my shoulders.\Midterm Exams\The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always. response:	Be sure to revise, and revise well.
context: I bet.\Still...\It's a load off my shoulders.\Midterm Exams\The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well. response:	So the time has come...
context: Still...\It's a load off my shoulders.\Midterm Exams\The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come... response:	The Quintessential Quintuplets
context: It's a load off my shoulders.\Midterm Exams\The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: Midterm Exams\The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: The midterms will begin next week.\Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: Just so you know,\any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	Itsuki.
context: any scores below thirty will be deemed failing grades, as always.\Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki. response:	What do you want?
context: Be sure to revise, and revise well.\So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki.\What do you want? response:	Wow, you're studying during a break.
context: So the time has come...\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki.\What do you want?\Wow, you're studying during a break. response:	Good on you!
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki.\What do you want?\Wow, you're studying during a break.\Good on you! response:	What?
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki.\What do you want?\Wow, you're studying during a break.\Good on you!\What? response:	I hear you're studying at home, too.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\Itsuki.\What do you want?\Wow, you're studying during a break.\Good on you!\What?\I hear you're studying at home, too. response:	I can tell because we're classmates.
context: The Quintessential Quintuplets\Itsuki.\What do you want?\Wow, you're studying during a break.\Good on you!\What?\I hear you're studying at home, too.\I can tell because we're classmates. response:	You're the most studious of the quints.
context: Itsuki.\What do you want?\Wow, you're studying during a break.\Good on you!\What?\I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints. response:	You think so?
context: What do you want?\Wow, you're studying during a break.\Good on you!\What?\I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints.\You think so? response:	Yeah!
context: Wow, you're studying during a break.\Good on you!\What?\I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints.\You think so?\Yeah! response:	It's just that you're stupid!
context: Good on you!\What?\I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints.\You think so?\Yeah!\It's just that you're stupid! response:	So stop being stubborn
context: What?\I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints.\You think so?\Yeah!\It's just that you're stupid!\So stop being stubborn response:	and join the study group.
context: I hear you're studying at home, too.\I can tell because we're classmates.\You're the most studious of the quints.\You think so?\Yeah!\It's just that you're stupid!\So stop being stubborn\and join the study group. response:	I'm sure even you could improve your grades.
context: I can tell because we're classmates.\You're the most studious of the quints.\You think so?\Yeah!\It's just that you're stupid!\So stop being stubborn\and join the study group.\I'm sure even you could improve your grades. response:	You're right.
context: You're the most studious of the quints.\You think so?\Yeah!\It's just that you're stupid!\So stop being stubborn\and join the study group.\I'm sure even you could improve your grades.\You're right. response:	There's definitely a limit to what I can do alone.
context: You think so?\Yeah!\It's just that you're stupid!\So stop being stubborn\and join the study group.\I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone. response:	Could you help me with this question?
context: Yeah!\It's just that you're stupid!\So stop being stubborn\and join the study group.\I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question? response:	Of course.
context: It's just that you're stupid!\So stop being stubborn\and join the study group.\I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course. response:	All right.
context: So stop being stubborn\and join the study group.\I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course.\All right. response:	Come to the staff room later.
context: and join the study group.\I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course.\All right.\Come to the staff room later. response:	Thank you, Sensei.
