context: I'm freezing! I'm definitely gonna wear a scarf tomorrow. response:	It gets pretty cold in the evenings now, huh.
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh. response:	Y-Yo.
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo. response:	Hey.
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey. response:	Hey, you! Don't you go stealing my Miyamura, Tanihara!
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara! response:	I-I'm not stealing him from you, jeez!
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez! response:	You guys are so weird! You're always cuddling with each other and stuff!
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff! response:	S-Sorry, but that's all it is!
context: I'm freezing! I'm definitely gonna wear a scarf tomorrow.\It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is! response:	We've kinda gotten close lately, that's it!
context: It gets pretty cold in the evenings now, huh.\Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it! response:	The hell do you mean, you've gotten close?
context: Y-Yo.\Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close? response:	Closer than just friends?
context: Hey.\Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends? response:	Oh, please. I'm not Shindo.
context: Hey, you! Don't you go stealing my Miyamura, Tanihara!\I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo. response:	Dude!
context: I-I'm not stealing him from you, jeez!\You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo.\Dude! response:	W-Wait, really? Is that what Shindo-kun is to you?
context: You guys are so weird! You're always cuddling with each other and stuff!\S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you? response:	Creak...
context: S-Sorry, but that's all it is!\We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak... response:	W-Wait, really? Is that what Shindo-kun is to you?
context: We've kinda gotten close lately, that's it!\The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you? response:	Trembling
context: The hell do you mean, you've gotten close?\Closer than just friends?\Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling response:	W-Wait, really? Is that what Shindo-kun is to you?
context: Closer than just friends?\Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you? response:	Absolutely not!
context: Oh, please. I'm not Shindo.\Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not! response:	C'mon, Tanihara, spill the damn beans!
context: Dude!\W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans! response:	I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.
context: W-Wait, really? Is that what Shindo-kun is to you?\Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once. response:	Look, he stays over at my place a lot! Even when I don't want him to!
context: Creak...\W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to! response:	A wild Shindo appears!
context: W-Wait, really? Is that what Shindo-kun is to you?\Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears! response:	Why're you guys blockin' the sidewalk? What's goin' on, huh?
context: Trembling\W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh? response:	Shindo-kun, are you close with Chika-chan?
context: W-Wait, really? Is that what Shindo-kun is to you?\Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan? response:	Kinda? Though lately, she's been busy studying for exams,
context: Absolutely not!\C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams, response:	so we haven't hung out much.
context: C'mon, Tanihara, spill the damn beans!\I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much. response:	Though I've spent plenty of nights at Miyamura's!
context: I mean, I saw Shindo go over to Miyamura's to get a change of clothes once.\Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's! response:	Playing video games.
context: Look, he stays over at my place a lot! Even when I don't want him to!\A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games. response:	Though I've spent plenty of nights at Miyamura's!
context: A wild Shindo appears!\Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's! response:	Though I've spent plenty of nights at Miyamura's!
context: Why're you guys blockin' the sidewalk? What's goin' on, huh?\Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's! response:	Hey, Shindo, let's go get some Mickey D's!
context: Shindo-kun, are you close with Chika-chan?\Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's! response:	Can't spell burger without Shindo, am I right?!
context: Kinda? Though lately, she's been busy studying for exams,\so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?! response:	Wait, what? Makes no sense, but okay.
context: so we haven't hung out much.\Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay. response:	Is that free coffee coupon still good?
context: Though I've spent plenty of nights at Miyamura's!\Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good? response:	No, it expired.
