context: I'd never thought that the damage would get this bad response:	It'll cost a fortune to repair
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair response:	President?
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President? response:	Hurry and apprehend her!
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President?\Hurry and apprehend her! response:	What's happeing right now?
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President?\Hurry and apprehend her!\What's happeing right now? response:	Thanks sir
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President?\Hurry and apprehend her!\What's happeing right now?\Thanks sir response:	Huang Xiao-Yan, what are you doing?
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President?\Hurry and apprehend her!\What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing? response:	Is it because she is a fellow disciple?
context: I'd never thought that the damage would get this bad\It'll cost a fortune to repair\President?\Hurry and apprehend her!\What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple? response:	(my hip)
context: It'll cost a fortune to repair\President?\Hurry and apprehend her!\What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple?\(my hip) response:	Correct, and that's why I will deal with her personally
context: President?\Hurry and apprehend her!\What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple?\(my hip)\Correct, and that's why I will deal with her personally response:	Outsiders should not interfere
context: Hurry and apprehend her!\What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple?\(my hip)\Correct, and that's why I will deal with her personally\Outsiders should not interfere response:	You can leave now
context: What's happeing right now?\Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple?\(my hip)\Correct, and that's why I will deal with her personally\Outsiders should not interfere\You can leave now response:	Today, I'll clean the filth that has graduated from my academy
context: Thanks sir\Huang Xiao-Yan, what are you doing?\Is it because she is a fellow disciple?\(my hip)\Correct, and that's why I will deal with her personally\Outsiders should not interfere\You can leave now\Today, I'll clean the filth that has graduated from my academy response:	She's a stray spirit, run!
