context: So this is Tsutsugami Gais response:	Youve belonged to this side since the beginning.
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning. response:	What made you think that you could cuddle up to some human?
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human? response:	You monster.
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster. response:	Somethings not quite right
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right response:	The reality of the destruction around us fills our mind
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: So this is Tsutsugami Gais\Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Youve belonged to this side since the beginning.\What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: What made you think that you could cuddle up to some human?\You monster.\Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: You monster.\Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Somethings not quite right\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
