context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	This is... inside of Etherion...?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...? response:	No, it's...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's... response:	I see now...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's...\I see now... response:	I'm dead?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's...\I see now...\I'm dead? response:	Erza Scarlet...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's...\I see now...\I'm dead?\Erza Scarlet... response:	In God's grace; God fearing; her heart was as wide as the eternal sky.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's...\I see now...\I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky. response:	Her sword shined nobly for her loved ones...
context: and sit back from the screen,'kay?\This is... inside of Etherion...?\No, it's...\I see now...\I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones... response:	Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...
context: This is... inside of Etherion...?\No, it's...\I see now...\I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself... response:	Love makes us stronger, and it is love that makes us weak as well...
context: No, it's...\I see now...\I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well... response:	Master...
context: I see now...\I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master... response:	She was like a daughter to me...
context: I'm dead?\Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me... response:	The council has decided to award one of the two empty council seats to her in perpetuity.
context: Erza Scarlet...\In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity. response:	And name Erza Scarlet as one of the 10 Wizard Saints.
context: In God's grace; God fearing; her heart was as wide as the eternal sky.\Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints. response:	Home.
context: Her sword shined nobly for her loved ones...\Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints.\Home. response:	Screw this!
context: Her figure a dancing, fluttering fairy. Her beauty was a match for nature itself...\Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints.\Home.\Screw this! response:	What the hell is everyone doing?
context: Love makes us stronger, and it is love that makes us weak as well...\Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints.\Home.\Screw this!\What the hell is everyone doing? response:	Natsu...
context: Master...\She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints.\Home.\Screw this!\What the hell is everyone doing?\Natsu... response:	Stop this, Natsu!
context: She was like a daughter to me...\The council has decided to award one of the two empty council seats to her in perpetuity.\And name Erza Scarlet as one of the 10 Wizard Saints.\Home.\Screw this!\What the hell is everyone doing?\Natsu...\Stop this, Natsu! response:	Natsu, stop!
